"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Transcript Length"
"PcyM_0002900","PcyM_0002900-t36_1","P. cynomolgi strain M","PcyM_00_10:146,139..147,665(-)","PIR protein","1221"
"PcyM_0002950","PcyM_0002950-t36_1","P. cynomolgi strain M","PcyM_00_10:151,433..152,616(+)","PIR protein, pseudogene","1032"
"PcyM_0003000","PcyM_0003000-t36_1","P. cynomolgi strain M","PcyM_00_10:154,715..156,214(-)","PIR protein","1233"
"PcyM_0003050","PcyM_0003050-t36_1","P. cynomolgi strain M","PcyM_00_10:160,956..161,722(+)","hypothetical protein, pseudogene","573"
"PcyM_0003100","PcyM_0003100-t36_1","P. cynomolgi strain M","PcyM_00_11:6,130..7,402(+)","Plasmodium exported protein, unknown function","1152"
"PcyM_0003150","PcyM_0003150-t36_1","P. cynomolgi strain M","PcyM_00_11:9,563..10,557(-)","PIR protein, pseudogene","807"
"PcyM_0003200","PcyM_0003200-t36_1","P. cynomolgi strain M","PcyM_00_11:14,014..15,337(+)","PIR protein","1071"
"PcyM_0003250","PcyM_0003250-t36_1","P. cynomolgi strain M","PcyM_00_11:16,479..16,966(+)","Plasmodium exported protein, unknown function, pseudogene","486"
"PcyM_0003300","PcyM_0003300-t36_1","P. cynomolgi strain M","PcyM_00_11:19,726..20,588(+)","Plasmodium exported protein, unknown function","726"
"PcyM_0003400","PcyM_0003400-t36_1","P. cynomolgi strain M","PcyM_00_11:23,082..26,008(-)","STP1 protein","2676"
"PcyM_0003500","PcyM_0003500-t36_1","P. cynomolgi strain M","PcyM_00_11:33,439..35,186(+)","PIR protein","1167"
"PcyM_0003550","PcyM_0003550-t36_1","P. cynomolgi strain M","PcyM_00_11:35,549..35,975(-)","PIR protein, pseudogene","427"
"PcyM_0003600","PcyM_0003600-t36_1","P. cynomolgi strain M","PcyM_00_11:38,658..39,769(+)","PIR protein","846"
"PcyM_0003650","PcyM_0003650-t36_1","P. cynomolgi strain M","PcyM_00_11:41,790..42,471(-)","Plasmodium exported protein, unknown function, pseudogene","678"
"PcyM_0003700","PcyM_0003700-t36_1","P. cynomolgi strain M","PcyM_00_11:44,199..45,428(-)","Plasmodium exported protein, unknown function","1002"
"PcyM_0003750","PcyM_0003750-t36_1","P. cynomolgi strain M","PcyM_00_11:46,042..46,465(+)","Plasmodium exported protein, unknown function, pseudogene","424"
"PcyM_0003800","PcyM_0003800-t36_1","P. cynomolgi strain M","PcyM_00_11:49,293..50,197(+)","Plasmodium exported protein, unknown function","774"
"PcyM_0003900","PcyM_0003900-t36_1","P. cynomolgi strain M","PcyM_00_11:56,815..58,128(+)","PIR protein","1047"
"PcyM_0004000","PcyM_0004000-t36_1","P. cynomolgi strain M","PcyM_00_11:60,315..61,525(+)","PIR protein","915"
"PcyM_0004100","PcyM_0004100-t36_1","P. cynomolgi strain M","PcyM_00_11:62,425..63,688(-)","PIR protein","1005"
"PcyM_0004150","PcyM_0004150-t36_1","P. cynomolgi strain M","PcyM_00_11:65,797..66,882(+)","PIR protein, pseudogene","798"
"PcyM_0004200","PcyM_0004200-t36_1","P. cynomolgi strain M","PcyM_00_11:72,076..73,314(+)","PIR protein","1005"
"PcyM_0004300","PcyM_0004300-t36_1","P. cynomolgi strain M","PcyM_00_11:78,638..79,743(+)","PIR protein","894"
"PcyM_0004400","PcyM_0004400-t36_1","P. cynomolgi strain M","PcyM_00_11:82,313..83,535(-)","PIR protein","1017"
"PcyM_0004500","PcyM_0004500-t36_1","P. cynomolgi strain M","PcyM_00_11:90,500..91,750(+)","PIR protein","990"
"PcyM_0004600","PcyM_0004600-t36_1","P. cynomolgi strain M","PcyM_00_11:93,821..95,011(-)","PIR protein","735"
"PcyM_0004700","PcyM_0004700-t36_1","P. cynomolgi strain M","PcyM_00_11:98,483..100,471(-)","PIR protein","1698"
"PcyM_0004800","PcyM_0004800-t36_1","P. cynomolgi strain M","PcyM_00_11:104,494..105,885(-)","PIR protein","1272"
"PcyM_0004900","PcyM_0004900-t36_1","P. cynomolgi strain M","PcyM_00_11:112,849..116,945(-)","STP1 protein","3351"
"PcyM_0005000","PcyM_0005000-t36_1","P. cynomolgi strain M","PcyM_00_11:122,928..126,338(+)","STP1 protein","3168"
"PcyM_0005050","PcyM_0005050-t36_1","P. cynomolgi strain M","PcyM_00_11:127,335..128,351(+)","PIR protein, pseudogene","873"
"PcyM_0005100","PcyM_0005100-t36_1","P. cynomolgi strain M","PcyM_00_11:131,592..132,952(+)","PIR protein","1101"
"PcyM_0005200","PcyM_0005200-t36_1","P. cynomolgi strain M","PcyM_00_11:136,544..137,736(+)","PIR protein","930"
"PcyM_0005300","PcyM_0005300-t36_1","P. cynomolgi strain M","PcyM_00_11:139,398..140,607(+)","PIR protein","948"
"PcyM_0005400","PcyM_0005400-t36_1","P. cynomolgi strain M","PcyM_00_11:144,205..145,339(+)","PIR protein","876"
"PcyM_0005500","PcyM_0005500-t36_1","P. cynomolgi strain M","PcyM_00_11:149,356..150,904(+)","PIR protein","1302"
"PcyM_0005600","PcyM_0005600-t36_1","P. cynomolgi strain M","PcyM_00_11:153,583..155,087(+)","PIR protein","1248"
"PcyM_0005700","PcyM_0005700-t36_1","P. cynomolgi strain M","PcyM_00_12:2,457..3,815(+)","PIR protein","1098"
"PcyM_0005800","PcyM_0005800-t36_1","P. cynomolgi strain M","PcyM_00_12:5,142..6,659(+)","methyltransferase, putative, pseudogene","1515"
"PcyM_0005900","PcyM_0005900-t36_1","P. cynomolgi strain M","PcyM_00_12:9,436..10,598(+)","PIR protein","927"
"PcyM_0006000","PcyM_0006000-t36_1","P. cynomolgi strain M","PcyM_00_12:14,856..16,244(-)","PIR protein","1128"
"PcyM_0006100","PcyM_0006100-t36_1","P. cynomolgi strain M","PcyM_00_12:17,958..18,879(-)","PIR protein, pseudogene","795"
"PcyM_0006200","PcyM_0006200-t36_1","P. cynomolgi strain M","PcyM_00_12:20,905..22,412(+)","PIR protein","1140"
"PcyM_0006300","PcyM_0006300-t36_1","P. cynomolgi strain M","PcyM_00_12:27,024..29,769(-)","PIR protein","2355"
"PcyM_0006400","PcyM_0006400-t36_1","P. cynomolgi strain M","PcyM_00_12:34,834..36,085(-)","PIR protein","981"
"PcyM_0006500","PcyM_0006500-t36_1","P. cynomolgi strain M","PcyM_00_12:41,446..42,505(+)","PIR protein","939"
"PcyM_0006600","PcyM_0006600-t36_1","P. cynomolgi strain M","PcyM_00_12:46,100..47,378(+)","PIR protein","987"
"PcyM_0006700","PcyM_0006700-t36_1","P. cynomolgi strain M","PcyM_00_12:48,456..49,484(-)","PIR protein, pseudogene","915"
"PcyM_0006800","PcyM_0006800-t36_1","P. cynomolgi strain M","PcyM_00_12:53,253..54,565(-)","PIR protein","1044"
"PcyM_0006900","PcyM_0006900-t36_1","P. cynomolgi strain M","PcyM_00_12:58,055..60,299(-)","PIR protein","1980"
"PcyM_0007000","PcyM_0007000-t36_1","P. cynomolgi strain M","PcyM_00_12:64,322..65,639(-)","PIR protein","1200"
"PcyM_0007100","PcyM_0007100-t36_1","P. cynomolgi strain M","PcyM_00_12:72,512..76,878(-)","STP1 protein","3561"
"PcyM_0007200","PcyM_0007200-t36_1","P. cynomolgi strain M","PcyM_00_12:82,644..85,709(+)","STP1 protein","2838"
"PcyM_0007250","PcyM_0007250-t36_1","P. cynomolgi strain M","PcyM_00_12:86,708..87,425(+)","PIR protein, pseudogene","708"
"PcyM_0007300","PcyM_0007300-t36_1","P. cynomolgi strain M","PcyM_00_12:90,964..92,323(+)","PIR protein","1101"
"PcyM_0007400","PcyM_0007400-t36_1","P. cynomolgi strain M","PcyM_00_12:95,963..97,152(+)","PIR protein","927"
"PcyM_0007500","PcyM_0007500-t36_1","P. cynomolgi strain M","PcyM_00_12:98,832..100,048(+)","PIR protein","966"
"PcyM_0007600","PcyM_0007600-t36_1","P. cynomolgi strain M","PcyM_00_12:103,629..104,771(+)","PIR protein","876"
"PcyM_0007700","PcyM_0007700-t36_1","P. cynomolgi strain M","PcyM_00_12:105,793..106,903(-)","PIR protein","849"
"PcyM_0007800","PcyM_0007800-t36_1","P. cynomolgi strain M","PcyM_00_12:110,610..113,648(-)","STP1 protein","2721"
"PcyM_0007850","PcyM_0007850-t36_1","P. cynomolgi strain M","PcyM_00_12:115,950..116,475(+)","PIR protein, pseudogene","396"
"PcyM_0007870","PcyM_0007870-t36_1","P. cynomolgi strain M","PcyM_00_12:116,675..117,388(-)","PIR protein, pseudogene","708"
"PcyM_0007900","PcyM_0007900-t36_1","P. cynomolgi strain M","PcyM_00_12:121,126..122,480(+)","PIR protein","996"
"PcyM_0008000","PcyM_0008000-t36_1","P. cynomolgi strain M","PcyM_00_12:127,380..128,657(+)","PIR protein","1008"
"PcyM_0008100","PcyM_0008100-t36_1","P. cynomolgi strain M","PcyM_00_12:133,778..135,070(+)","PIR protein","885"
"PcyM_0008200","PcyM_0008200-t36_1","P. cynomolgi strain M","PcyM_00_13:3,885..5,121(+)","PIR protein","957"
"PcyM_0008250","PcyM_0008250-t36_1","P. cynomolgi strain M","PcyM_00_13:8,106..10,064(-)","PIR protein, pseudogene","1641"
"PcyM_0008300","PcyM_0008300-t36_1","P. cynomolgi strain M","PcyM_00_13:12,617..15,336(+)","STP1 protein, pseudogene","2385"
"PcyM_0008400","PcyM_0008400-t36_1","P. cynomolgi strain M","PcyM_00_13:16,670..17,971(-)","PIR protein","897"
"PcyM_0008500","PcyM_0008500-t36_1","P. cynomolgi strain M","PcyM_00_13:22,687..23,800(-)","PIR protein","828"
"PcyM_0008600","PcyM_0008600-t36_1","P. cynomolgi strain M","PcyM_00_13:27,346..28,586(-)","PIR protein","972"
"PcyM_0008700","PcyM_0008700-t36_1","P. cynomolgi strain M","PcyM_00_13:36,217..37,727(+)","PIR protein","1179"
"PcyM_0008750","PcyM_0008750-t36_1","P. cynomolgi strain M","PcyM_00_13:41,378..42,024(-)","PIR protein, pseudogene","642"
"PcyM_0008800","PcyM_0008800-t36_1","P. cynomolgi strain M","PcyM_00_13:44,004..45,603(-)","PIR protein","1344"
"PcyM_0008900","PcyM_0008900-t36_1","P. cynomolgi strain M","PcyM_00_13:47,463..50,086(+)","PIR protein","2148"
"PcyM_0009000","PcyM_0009000-t36_1","P. cynomolgi strain M","PcyM_00_13:53,546..54,844(+)","PIR protein","1041"
"PcyM_0009100","PcyM_0009100-t36_1","P. cynomolgi strain M","PcyM_00_13:59,025..60,236(+)","PIR protein","966"
"PcyM_0009200","PcyM_0009200-t36_1","P. cynomolgi strain M","PcyM_00_13:62,546..63,714(-)","PIR protein","915"
"PcyM_0009250","PcyM_0009250-t36_1","P. cynomolgi strain M","PcyM_00_13:67,264..68,192(+)","PIR protein, pseudogene","804"
"PcyM_0009300","PcyM_0009300-t36_1","P. cynomolgi strain M","PcyM_00_13:69,878..71,213(+)","PIR protein","1086"
"PcyM_0009400","PcyM_0009400-t36_1","P. cynomolgi strain M","PcyM_00_13:75,527..76,712(-)","PIR protein","936"
"PcyM_0009500","PcyM_0009500-t36_1","P. cynomolgi strain M","PcyM_00_13:80,336..81,704(-)","PIR protein","1107"
"PcyM_0009600","PcyM_0009600-t36_1","P. cynomolgi strain M","PcyM_00_13:87,160..88,393(+)","PIR protein","954"
"PcyM_0009700","PcyM_0009700-t36_1","P. cynomolgi strain M","PcyM_00_13:91,374..93,334(-)","PIR protein","1587"
"PcyM_0009800","PcyM_0009800-t36_1","P. cynomolgi strain M","PcyM_00_13:96,476..98,344(+)","PIR protein, pseudogene","1407"
"PcyM_0009900","PcyM_0009900-t36_1","P. cynomolgi strain M","PcyM_00_13:102,246..103,708(+)","PIR protein","1362"
"PcyM_0010000","PcyM_0010000-t36_1","P. cynomolgi strain M","PcyM_00_13:108,456..109,545(+)","PIR protein, pseudogene","975"
"PcyM_0010100","PcyM_0010100-t36_1","P. cynomolgi strain M","PcyM_00_13:110,462..110,977(-)","Plasmodium exported protein, unknown function, pseudogene","516"
"PcyM_0010200","PcyM_0010200-t36_1","P. cynomolgi strain M","PcyM_00_14:3,968..8,423(+)","STP1 protein","3900"
"PcyM_0010300","PcyM_0010300-t36_1","P. cynomolgi strain M","PcyM_00_14:12,644..13,979(+)","PIR protein","1218"
"PcyM_0010400","PcyM_0010400-t36_1","P. cynomolgi strain M","PcyM_00_14:17,997..20,013(+)","PIR protein","1770"
"PcyM_0010500","PcyM_0010500-t36_1","P. cynomolgi strain M","PcyM_00_14:23,483..24,725(+)","PIR protein","990"
"PcyM_0010600","PcyM_0010600-t36_1","P. cynomolgi strain M","PcyM_00_14:31,055..32,412(-)","PIR protein","1101"
"PcyM_0010700","PcyM_0010700-t36_1","P. cynomolgi strain M","PcyM_00_14:36,539..38,175(-)","PIR protein","1428"
"PcyM_0010800","PcyM_0010800-t36_1","P. cynomolgi strain M","PcyM_00_14:43,564..44,437(-)","Plasmodium exported protein, unknown function, pseudogene","873"
"PcyM_0010900","PcyM_0010900-t36_1","P. cynomolgi strain M","PcyM_00_14:47,312..48,625(-)","PIR protein","1077"
"PcyM_0011000","PcyM_0011000-t36_1","P. cynomolgi strain M","PcyM_00_14:54,923..56,135(+)","PIR protein","942"
"PcyM_0011050","PcyM_0011050-t36_1","P. cynomolgi strain M","PcyM_00_14:60,311..61,027(+)","PIR protein, pseudogene","717"
"PcyM_0011100","PcyM_0011100-t36_1","P. cynomolgi strain M","PcyM_00_14:64,526..65,657(+)","PIR protein, pseudogene","1014"
"PcyM_0011300","PcyM_0011300-t36_1","P. cynomolgi strain M","PcyM_00_14:71,032..72,320(+)","PIR protein","1047"
"PcyM_0011400","PcyM_0011400-t36_1","P. cynomolgi strain M","PcyM_00_14:74,613..75,824(-)","PIR protein","963"
"PcyM_0011500","PcyM_0011500-t36_1","P. cynomolgi strain M","PcyM_00_14:79,994..81,356(-)","PIR protein","1014"
"PcyM_0011600","PcyM_0011600-t36_1","P. cynomolgi strain M","PcyM_00_14:85,709..86,960(+)","PIR protein","1026"
"PcyM_0011700","PcyM_0011700-t36_1","P. cynomolgi strain M","PcyM_00_14:90,734..92,077(-)","PIR protein","1101"
"PcyM_0011800","PcyM_0011800-t36_1","P. cynomolgi strain M","PcyM_00_14:96,136..97,435(-)","PIR protein","981"
"PcyM_0011900","PcyM_0011900-t36_1","P. cynomolgi strain M","PcyM_00_14:106,357..107,596(+)","PIR protein","948"
"PcyM_0012000","PcyM_0012000-t36_1","P. cynomolgi strain M","PcyM_00_15:3,371..4,832(-)","PIR protein, pseudogene","1335"
"PcyM_0012100","PcyM_0012100-t36_1","P. cynomolgi strain M","PcyM_00_15:7,610..8,445(-)","conserved Plasmodium protein, unknown function, pseudogene","831"
"PcyM_0012300","PcyM_0012300-t36_1","P. cynomolgi strain M","PcyM_00_15:9,659..11,351(+)","methyltransferase, putative, pseudogene","1689"
"PcyM_0012400","PcyM_0012400-t36_1","P. cynomolgi strain M","PcyM_00_15:14,154..15,927(+)","PIR protein, pseudogene","1641"
"PcyM_0012500","PcyM_0012500-t36_1","P. cynomolgi strain M","PcyM_00_15:20,369..21,608(+)","Plasmodium exported protein, unknown function","1071"
"PcyM_0012600","PcyM_0012600-t36_1","P. cynomolgi strain M","PcyM_00_15:24,441..25,217(+)","tryptophan-rich antigen","777"
"PcyM_0012700","PcyM_0012700-t36_1","P. cynomolgi strain M","PcyM_00_15:29,247..30,380(+)","tryptophan-rich antigen","996"
"PcyM_0012800","PcyM_0012800-t36_1","P. cynomolgi strain M","PcyM_00_15:34,576..35,724(-)","lysophospholipase, putative","1149"
"PcyM_0012900","PcyM_0012900-t36_1","P. cynomolgi strain M","PcyM_00_15:39,110..40,273(+)","tryptophan-rich antigen, pseudogene","957"
"PcyM_0013100","PcyM_0013100-t36_1","P. cynomolgi strain M","PcyM_00_15:45,113..46,189(+)","tryptophan-rich antigen","894"
"PcyM_0013200","PcyM_0013200-t36_1","P. cynomolgi strain M","PcyM_00_15:53,796..54,845(+)","tryptophan-rich antigen","870"
"PcyM_0013300","PcyM_0013300-t36_1","P. cynomolgi strain M","PcyM_00_15:57,240..58,285(+)","tryptophan-rich antigen","939"
"PcyM_0013400","PcyM_0013400-t36_1","P. cynomolgi strain M","PcyM_00_15:60,644..63,082(+)","tryptophan-rich antigen","2265"
"PcyM_0013500","PcyM_0013500-t36_1","P. cynomolgi strain M","PcyM_00_15:67,012..67,981(-)","Plasmodium exported protein, unknown function","786"
"PcyM_0013600","PcyM_0013600-t36_1","P. cynomolgi strain M","PcyM_00_15:71,889..73,194(-)","PIR protein, pseudogene","1032"
"PcyM_0013700","PcyM_0013700-t36_1","P. cynomolgi strain M","PcyM_00_15:74,755..75,566(+)","Plasmodium exported protein, unknown function","672"
"PcyM_0013800","PcyM_0013800-t36_1","P. cynomolgi strain M","PcyM_00_15:77,681..78,564(+)","Plasmodium exported protein, unknown function, pseudogene","723"
"PcyM_0013900","PcyM_0013900-t36_1","P. cynomolgi strain M","PcyM_00_15:82,046..84,022(+)","PIR protein","1701"
"PcyM_0013950","PcyM_0013950-t36_1","P. cynomolgi strain M","PcyM_00_15:87,707..88,437(-)","PIR protein, pseudogene","729"
"PcyM_0014000","PcyM_0014000-t36_1","P. cynomolgi strain M","PcyM_00_15:90,432..91,952(+)","PIR protein","1152"
"PcyM_0014100","PcyM_0014100-t36_1","P. cynomolgi strain M","PcyM_00_15:96,483..99,379(-)","PIR protein","2418"
"PcyM_0014200","PcyM_0014200-t36_1","P. cynomolgi strain M","PcyM_00_16:5,786..7,142(+)","PIR protein","1101"
"PcyM_0014300","PcyM_0014300-t36_1","P. cynomolgi strain M","PcyM_00_16:8,026..8,805(-)","PIR protein","654"
"PcyM_0014400","PcyM_0014400-t36_1","P. cynomolgi strain M","PcyM_00_16:14,428..15,502(-)","PIR protein","900"
"PcyM_0014500","PcyM_0014500-t36_1","P. cynomolgi strain M","PcyM_00_16:23,398..24,509(+)","PIR protein","855"
"PcyM_0014600","PcyM_0014600-t36_1","P. cynomolgi strain M","PcyM_00_16:27,187..28,417(-)","PIR protein","996"
"PcyM_0014700","PcyM_0014700-t36_1","P. cynomolgi strain M","PcyM_00_16:35,831..37,553(+)","PIR protein","1242"
"PcyM_0014800","PcyM_0014800-t36_1","P. cynomolgi strain M","PcyM_00_16:40,571..41,690(+)","PIR protein","855"
"PcyM_0014900","PcyM_0014900-t36_1","P. cynomolgi strain M","PcyM_00_16:46,589..47,818(-)","Plasmodium exported protein, unknown function","1002"
"PcyM_0014950","PcyM_0014950-t36_1","P. cynomolgi strain M","PcyM_00_16:48,414..48,903(+)","Plasmodium exported protein, unknown function, pseudogene","489"
"PcyM_0015000","PcyM_0015000-t36_1","P. cynomolgi strain M","PcyM_00_16:51,693..52,535(+)","Plasmodium exported protein, unknown function","681"
"PcyM_0015100","PcyM_0015100-t36_1","P. cynomolgi strain M","PcyM_00_16:58,111..59,450(+)","PIR protein","1080"
"PcyM_0015200","PcyM_0015200-t36_1","P. cynomolgi strain M","PcyM_00_16:64,347..65,613(+)","PIR protein","999"
"PcyM_0015300","PcyM_0015300-t36_1","P. cynomolgi strain M","PcyM_00_16:69,260..70,492(+)","PIR protein","975"
"PcyM_0015350","PcyM_0015350-t36_1","P. cynomolgi strain M","PcyM_00_16:70,816..71,537(-)","PIR protein, pseudogene","720"
"PcyM_0015400","PcyM_0015400-t36_1","P. cynomolgi strain M","PcyM_00_16:76,160..77,717(+)","PIR protein","1317"
"PcyM_0015500","PcyM_0015500-t36_1","P. cynomolgi strain M","PcyM_00_16:81,042..82,320(+)","PIR protein, pseudogene","1026"
"PcyM_0015600","PcyM_0015600-t36_1","P. cynomolgi strain M","PcyM_00_16:85,910..87,088(+)","PIR protein","915"
"PcyM_0015700","PcyM_0015700-t36_1","P. cynomolgi strain M","PcyM_00_16:88,748..89,975(+)","PIR protein","966"
"PcyM_0015800","PcyM_0015800-t36_1","P. cynomolgi strain M","PcyM_00_16:93,548..94,119(+)","PIR protein, pseudogene","432"
"PcyM_0015900","PcyM_0015900-t36_1","P. cynomolgi strain M","PcyM_00_17:4,829..5,737(+)","PIR protein","783"
"PcyM_0016000","PcyM_0016000-t36_1","P. cynomolgi strain M","PcyM_00_17:10,034..11,055(+)","PIR protein, pseudogene","879"
"PcyM_0016100","PcyM_0016100-t36_1","P. cynomolgi strain M","PcyM_00_17:15,257..16,757(+)","PIR protein","1257"
"PcyM_0016200","PcyM_0016200-t36_1","P. cynomolgi strain M","PcyM_00_17:18,309..19,990(+)","PIR protein","1380"
"PcyM_0016300","PcyM_0016300-t36_1","P. cynomolgi strain M","PcyM_00_17:22,465..23,803(-)","Plasmodium exported protein, unknown function, putative","1191"
"PcyM_0016400","PcyM_0016400-t36_1","P. cynomolgi strain M","PcyM_00_17:27,791..29,172(-)","PIR protein","1119"
"PcyM_0016450","PcyM_0016450-t36_1","P. cynomolgi strain M","PcyM_00_17:33,822..34,536(-)","PIR protein, pseudogene","711"
"PcyM_0016600","PcyM_0016600-t36_1","P. cynomolgi strain M","PcyM_00_17:36,769..38,085(+)","PIR protein, pseudogene","1191"
"PcyM_0016700","PcyM_0016700-t36_1","P. cynomolgi strain M","PcyM_00_17:42,965..44,875(+)","PIR protein","1656"
"PcyM_0016800","PcyM_0016800-t36_1","P. cynomolgi strain M","PcyM_00_17:47,871..49,099(-)","PIR protein","951"
"PcyM_0016900","PcyM_0016900-t36_1","P. cynomolgi strain M","PcyM_00_17:54,411..55,745(+)","PIR protein","1074"
"PcyM_0017000","PcyM_0017000-t36_1","P. cynomolgi strain M","PcyM_00_17:57,061..58,569(+)","methyltransferase, putative, pseudogene","1506"
"PcyM_0017100","PcyM_0017100-t36_1","P. cynomolgi strain M","PcyM_00_17:61,348..62,519(+)","PIR protein","921"
"PcyM_0017200","PcyM_0017200-t36_1","P. cynomolgi strain M","PcyM_00_17:66,761..68,110(-)","PIR protein","1095"
"PcyM_0017250","PcyM_0017250-t36_1","P. cynomolgi strain M","PcyM_00_17:72,720..73,449(-)","PIR protein, pseudogene","729"
"PcyM_0017300","PcyM_0017300-t36_1","P. cynomolgi strain M","PcyM_00_17:75,464..77,155(+)","PIR protein","1332"
"PcyM_0017400","PcyM_0017400-t36_1","P. cynomolgi strain M","PcyM_00_17:81,661..84,555(-)","PIR protein","2463"
"PcyM_0017500","PcyM_0017500-t36_1","P. cynomolgi strain M","PcyM_00_17:89,641..90,896(-)","PIR protein","987"
"PcyM_0017600","PcyM_0017600-t36_1","P. cynomolgi strain M","PcyM_00_18:791..1,976(-)","PIR protein, pseudogene","1065"
"PcyM_0017650","PcyM_0017650-t36_1","P. cynomolgi strain M","PcyM_00_18:8,906..10,057(+)","PIR protein, pseudogene","1032"
"PcyM_0017700","PcyM_0017700-t36_1","P. cynomolgi strain M","PcyM_00_18:12,225..13,653(+)","PIR protein","1170"
"PcyM_0017800","PcyM_0017800-t36_1","P. cynomolgi strain M","PcyM_00_18:19,364..20,715(-)","PIR protein","1092"
"PcyM_0017850","PcyM_0017850-t36_1","P. cynomolgi strain M","PcyM_00_18:25,079..26,022(-)","PIR protein, pseudogene","816"
