"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Transcript Length"
"PCOAH_00000160","PCOAH_00000160-t30_1","P. coatneyi Hackeri","CP016239:83,599..85,764(+)","Chitinase","1956"
"PCOAH_00000170","PCOAH_00000170-t30_1","P. coatneyi Hackeri","CP016239:86,794..86,866(-)","tRNA-Ala","73"
"PCOAH_00000180","PCOAH_00000180-t30_1","P. coatneyi Hackeri","CP016239:87,431..87,514(+)","tRNA-Tyr","73"
"PCOAH_00000190","PCOAH_00000190-t30_1","P. coatneyi Hackeri","CP016239:89,012..89,889(-)","Uncharacterized protein","324"
"PCOAH_00000200","PCOAH_00000200-t30_1","P. coatneyi Hackeri","CP016239:91,489..96,780(+)","Uncharacterized protein","5292"
"PCOAH_00000210","PCOAH_00000210-t30_1","P. coatneyi Hackeri","CP016239:97,512..98,048(+)","Uncharacterized protein","537"
"PCOAH_00000220","PCOAH_00000220-t30_1","P. coatneyi Hackeri","CP016239:99,033..102,866(-)","Uncharacterized protein","3834"
"PCOAH_00000230","PCOAH_00000230-t30_1","P. coatneyi Hackeri","CP016239:104,531..104,965(+)","Uncharacterized protein","435"
"PCOAH_00000240","PCOAH_00000240-t30_1","P. coatneyi Hackeri","CP016239:106,045..108,155(-)","Uncharacterized protein","2013"
"PCOAH_00000250","PCOAH_00000250-t30_1","P. coatneyi Hackeri","CP016239:112,570..119,481(+)","Erythrocyte membrane-associated antigen","6912"
"PCOAH_00000260","PCOAH_00000260-t30_1","P. coatneyi Hackeri","CP016239:121,005..123,724(+)","Uncharacterized protein","1144"
"PCOAH_00000270","PCOAH_00000270-t30_1","P. coatneyi Hackeri","CP016239:124,416..125,030(-)","Uncharacterized protein","615"
"PCOAH_00000280","PCOAH_00000280-t30_1","P. coatneyi Hackeri","CP016239:128,295..131,065(+)","Uncharacterized protein","2640"
"PCOAH_00000290","PCOAH_00000290-t30_1","P. coatneyi Hackeri","CP016239:131,959..143,480(-)","Uncharacterized protein","11397"
"PCOAH_00000300","PCOAH_00000300-t30_1","P. coatneyi Hackeri","CP016239:144,826..153,597(-)","Uncharacterized protein","8772"
"PCOAH_00000310","PCOAH_00000310-t30_1","P. coatneyi Hackeri","CP016239:156,661..166,623(+)","Uncharacterized protein","9963"
"PCOAH_00000320","PCOAH_00000320-t30_1","P. coatneyi Hackeri","CP016239:167,319..170,510(-)","Uncharacterized protein","3192"
"PCOAH_00000330","PCOAH_00000330-t30_1","P. coatneyi Hackeri","CP016239:173,491..179,079(+)","Uncharacterized protein","5589"
"PCOAH_00000340","PCOAH_00000340-t30_1","P. coatneyi Hackeri","CP016239:181,126..183,534(+)","WD domain G-beta repeat domain containing protein","2409"
"PCOAH_00000350","PCOAH_00000350-t30_1","P. coatneyi Hackeri","CP016239:185,330..186,788(+)","Uncharacterized protein","1266"
"PCOAH_00000360","PCOAH_00000360-t30_1","P. coatneyi Hackeri","CP016239:188,768..190,727(-)","Uncharacterized protein","1737"
"PCOAH_00000370","PCOAH_00000370-t30_1","P. coatneyi Hackeri","CP016239:193,874..194,338(+)","Cytochrome c","465"
"PCOAH_00000380","PCOAH_00000380-t30_1","P. coatneyi Hackeri","CP016239:204,880..208,575(-)","Calcium-dependent protein kinase 3","3696"
"PCOAH_00000390","PCOAH_00000390-t30_1","P. coatneyi Hackeri","CP016239:210,564..223,156(-)","Uncharacterized protein","11259"
"PCOAH_00000400","PCOAH_00000400-t30_1","P. coatneyi Hackeri","CP016239:227,019..230,663(+)","Uncharacterized protein","3645"
"PCOAH_00000410","PCOAH_00000410-t30_1","P. coatneyi Hackeri","CP016239:231,138..234,981(-)","Uncharacterized protein","3795"
"PCOAH_00000420","PCOAH_00000420-t30_1","P. coatneyi Hackeri","CP016239:236,256..237,260(-)","Peptidyl-trna hydrolase","1005"
"PCOAH_00000430","PCOAH_00000430-t30_1","P. coatneyi Hackeri","CP016239:238,433..241,810(-)","mRNA-capping enzyme","3273"
"PCOAH_00000440","PCOAH_00000440-t30_1","P. coatneyi Hackeri","CP016239:244,044..246,305(+)","Uncharacterized protein","2262"
"PCOAH_00000450","PCOAH_00000450-t30_1","P. coatneyi Hackeri","CP016239:247,419..251,462(+)","Uncharacterized protein","4044"
"PCOAH_00000460","PCOAH_00000460-t30_1","P. coatneyi Hackeri","CP016239:252,819..255,285(+)","Origin recognition subunit","2439"
"PCOAH_00000470","PCOAH_00000470-t30_1","P. coatneyi Hackeri","CP016239:255,678..258,182(-)","DNA helicase","2505"
"PCOAH_00000480","PCOAH_00000480-t30_1","P. coatneyi Hackeri","CP016239:260,644..268,620(-)","Inositol phosphatase","7836"
"PCOAH_00000490","PCOAH_00000490-t30_1","P. coatneyi Hackeri","CP016239:271,397..274,600(-)","Uncharacterized protein","3204"
"PCOAH_00000500","PCOAH_00000500-t30_1","P. coatneyi Hackeri","CP016239:275,778..276,646(-)","30S ribosomal protein S14p/S29e","243"
"PCOAH_00000510","PCOAH_00000510-t30_1","P. coatneyi Hackeri","CP016239:277,691..279,867(-)","Uncharacterized protein","958"
"PCOAH_00000520","PCOAH_00000520-t30_1","P. coatneyi Hackeri","CP016239:280,540..282,248(-)","ATPase subunit 9","1075"
"PCOAH_00000530","PCOAH_00000530-t30_1","P. coatneyi Hackeri","CP016239:283,593..287,303(+)","Uncharacterized protein","3711"
"PCOAH_00000540","PCOAH_00000540-t30_1","P. coatneyi Hackeri","CP016239:287,660..292,983(-)","Uncharacterized protein","4458"
"PCOAH_00000550","PCOAH_00000550-t30_1","P. coatneyi Hackeri","CP016239:293,945..294,489(+)","Uncharacterized protein","189"
"PCOAH_00000560","PCOAH_00000560-t30_1","P. coatneyi Hackeri","CP016239:295,335..295,887(+)","Uncharacterized protein","357"
"PCOAH_00000570","PCOAH_00000570-t30_1","P. coatneyi Hackeri","CP016239:296,906..297,184(-)","Ribosomal protein L37","279"
"PCOAH_00000580","PCOAH_00000580-t30_1","P. coatneyi Hackeri","CP016239:299,853..304,915(-)","Erythrocyte membrane protein","5022"
"PCOAH_00000590","PCOAH_00000590-t30_1","P. coatneyi Hackeri","CP016239:311,762..313,531(+)","Uncharacterized protein","1770"
"PCOAH_00000600","PCOAH_00000600-t30_1","P. coatneyi Hackeri","CP016239:314,465..317,032(+)","DNA mismatch-repair protein","2568"
"PCOAH_00000610","PCOAH_00000610-t30_1","P. coatneyi Hackeri","CP016239:317,626..317,698(+)","tRNA-Thr","73"
"PCOAH_00000620","PCOAH_00000620-t30_1","P. coatneyi Hackeri","CP016239:318,460..318,531(-)","tRNA-His","72"
"PCOAH_00000630","PCOAH_00000630-t30_1","P. coatneyi Hackeri","CP016239:319,407..319,479(+)","tRNA-Lys","73"
"PCOAH_00000640","PCOAH_00000640-t30_1","P. coatneyi Hackeri","CP016239:320,411..320,483(-)","tRNA-Lys","73"
"PCOAH_00000650","PCOAH_00000650-t30_1","P. coatneyi Hackeri","CP016239:321,215..322,933(-)","Uncharacterized protein","1719"
"PCOAH_00000660","PCOAH_00000660-t30_1","P. coatneyi Hackeri","CP016239:323,061..326,873(-)","Uncharacterized protein","3813"
"PCOAH_00000670","PCOAH_00000670-t30_1","P. coatneyi Hackeri","CP016239:329,993..332,995(+)","Rhoptry associated membrane antigen","2214"
"PCOAH_00000680","PCOAH_00000680-t30_1","P. coatneyi Hackeri","CP016239:334,845..336,875(+)","Putative 26s proteosome regulatory subunit","2031"
"PCOAH_00000690","PCOAH_00000690-t30_1","P. coatneyi Hackeri","CP016239:338,935..343,011(+)","Uncharacterized protein","4077"
"PCOAH_00000700","PCOAH_00000700-t30_1","P. coatneyi Hackeri","CP016239:344,091..345,032(+)","Reticulocyte binding protein","942"
"PCOAH_00000710","PCOAH_00000710-t30_1","P. coatneyi Hackeri","CP016239:348,007..351,009(+)","Erythrocyte membrane protein","3003"
"PCOAH_00000720","PCOAH_00000720-t30_1","P. coatneyi Hackeri","CP016239:352,283..355,500(+)","Uncharacterized protein","2976"
"PCOAH_00000730","PCOAH_00000730-t30_1","P. coatneyi Hackeri","CP016239:356,728..357,507(+)","Uncharacterized protein","780"
"PCOAH_00000740","PCOAH_00000740-t30_1","P. coatneyi Hackeri","CP016239:358,803..361,429(+)","Uncharacterized protein","2313"
"PCOAH_00000750","PCOAH_00000750-t30_1","P. coatneyi Hackeri","CP016239:362,320..362,655(+)","Uncharacterized protein","336"
"PCOAH_00000760","PCOAH_00000760-t30_1","P. coatneyi Hackeri","CP016239:362,889..363,098(-)","DNA-directed RNA polymerase II 8.2 kDa polypeptide","210"
"PCOAH_00000770","PCOAH_00000770-t30_1","P. coatneyi Hackeri","CP016239:364,016..367,023(-)","Uncharacterized protein","2877"
"PCOAH_00000780","PCOAH_00000780-t30_1","P. coatneyi Hackeri","CP016239:367,901..369,253(+)","Bud32 protein kinase","705"
"PCOAH_00000790","PCOAH_00000790-t30_1","P. coatneyi Hackeri","CP016239:372,198..374,936(+)","Heat shock protein 86","2241"
"PCOAH_00000800","PCOAH_00000800-t30_1","P. coatneyi Hackeri","CP016239:376,228..378,868(-)","Heat shock protein 86 family","2541"
"PCOAH_00000810","PCOAH_00000810-t30_1","P. coatneyi Hackeri","CP016239:380,264..381,601(-)","Uncharacterized protein","1186"
"PCOAH_00000820","PCOAH_00000820-t30_1","P. coatneyi Hackeri","CP016239:382,253..382,888(-)","Uncharacterized protein","636"
"PCOAH_00000830","PCOAH_00000830-t30_1","P. coatneyi Hackeri","CP016239:386,440..389,115(+)","Uncharacterized protein","2676"
"PCOAH_00000840","PCOAH_00000840-t30_1","P. coatneyi Hackeri","CP016239:389,723..390,670(-)","Cloroquine resistance associated protein Cg3","948"
"PCOAH_00000850","PCOAH_00000850-t30_1","P. coatneyi Hackeri","CP016239:393,039..396,288(+)","Putative chloroquine resistance transporter","1275"
"PCOAH_00000860","PCOAH_00000860-t30_1","P. coatneyi Hackeri","CP016239:398,710..401,805(+)","Cg1 protein","3096"
"PCOAH_00000870","PCOAH_00000870-t30_1","P. coatneyi Hackeri","CP016239:402,498..410,896(-)","Uncharacterized protein","8049"
"PCOAH_00000880","PCOAH_00000880-t30_1","P. coatneyi Hackeri","CP016239:411,878..415,490(-)","Uncharacterized protein","3501"
"PCOAH_00000890","PCOAH_00000890-t30_1","P. coatneyi Hackeri","CP016239:416,538..417,133(+)","Uncharacterized protein","450"
"PCOAH_00000900","PCOAH_00000900-t30_1","P. coatneyi Hackeri","CP016239:428,325..431,734(+)","SICA antigen","2217"
"PCOAH_00000910","PCOAH_00000910-t30_1","P. coatneyi Hackeri","CP016239:432,731..433,650(-)","KIR protein","627"
"PCOAH_00000920","PCOAH_00000920-t30_1","P. coatneyi Hackeri","CP016239:436,162..437,137(-)","KIR protein","831"
"PCOAH_00000930","PCOAH_00000930-t30_1","P. coatneyi Hackeri","CP016239:442,777..443,613(-)","Uncharacterized protein","753"
"PCOAH_00000940","PCOAH_00000940-t30_1","P. coatneyi Hackeri","CP016239:445,521..446,533(-)","Uncharacterized protein","846"
"PCOAH_00000950","PCOAH_00000950-t30_1","P. coatneyi Hackeri","CP016239:448,197..449,950(-)","KIR protein","1458"
"PCOAH_00000960","PCOAH_00000960-t30_1","P. coatneyi Hackeri","CP016239:452,555..456,304(-)","POP1-like nucleolar ribonuclease","3285"
"PCOAH_00000970","PCOAH_00000970-t30_1","P. coatneyi Hackeri","CP016239:457,836..461,967(-)","Lysophospholipase-like protein","2751"
"PCOAH_00000980","PCOAH_00000980-t30_1","P. coatneyi Hackeri","CP016239:463,818..464,015(+)","Uncharacterized protein","198"
"PCOAH_00000990","PCOAH_00000990-t30_1","P. coatneyi Hackeri","CP016239:464,439..472,330(-)","Uncharacterized protein","6642"
"PCOAH_00001000","PCOAH_00001000-t30_1","P. coatneyi Hackeri","CP016239:473,390..483,156(-)","Uncharacterized protein","8955"
"PCOAH_00001010","PCOAH_00001010-t30_1","P. coatneyi Hackeri","CP016239:484,548..486,053(+)","Uncharacterized protein","1506"
"PCOAH_00001020","PCOAH_00001020-t30_1","P. coatneyi Hackeri","CP016239:487,567..492,666(+)","Uncharacterized protein","5100"
"PCOAH_00001030","PCOAH_00001030-t30_1","P. coatneyi Hackeri","CP016239:495,229..501,811(+)","SICA antigen","4551"
"PCOAH_00001040","PCOAH_00001040-t30_1","P. coatneyi Hackeri","CP016239:506,521..508,022(-)","CYIR protein","1110"
"PCOAH_00001050","PCOAH_00001050-t30_1","P. coatneyi Hackeri","CP016239:510,747..511,739(-)","Phosphatidate cytidylyltransferase","615"
"PCOAH_00001060","PCOAH_00001060-t30_1","P. coatneyi Hackeri","CP016239:512,472..513,668(+)","DNA repair protein","1197"
"PCOAH_00001070","PCOAH_00001070-t30_1","P. coatneyi Hackeri","CP016239:513,941..515,308(-)","Uncharacterized protein","831"
"PCOAH_00001080","PCOAH_00001080-t30_1","P. coatneyi Hackeri","CP016239:516,375..517,761(-)","60S ribosomal protein L34-A","883"
"PCOAH_00001090","PCOAH_00001090-t30_1","P. coatneyi Hackeri","CP016239:519,591..520,509(-)","Uncharacterized protein","831"
"PCOAH_00001100","PCOAH_00001100-t30_1","P. coatneyi Hackeri","CP016239:521,244..522,319(-)","Uncharacterized protein","1029"
"PCOAH_00001110","PCOAH_00001110-t30_1","P. coatneyi Hackeri","CP016239:522,825..523,964(+)","50S ribosomal protein L1","1140"
"PCOAH_00001120","PCOAH_00001120-t30_1","P. coatneyi Hackeri","CP016239:524,554..527,886(-)","Cell division cycle ATPase","3333"
"PCOAH_00001130","PCOAH_00001130-t30_1","P. coatneyi Hackeri","CP016239:529,872..530,420(-)","Uncharacterized protein","549"
"PCOAH_00001140","PCOAH_00001140-t30_1","P. coatneyi Hackeri","CP016239:533,316..535,886(+)","Uncharacterized protein","2571"
"PCOAH_00001150","PCOAH_00001150-t30_1","P. coatneyi Hackeri","CP016239:539,322..539,980(+)","KIR protein","384"
"PCOAH_00001160","PCOAH_00001160-t30_1","P. coatneyi Hackeri","CP016239:543,888..545,031(+)","KIR-like protein","852"
"PCOAH_00001170","PCOAH_00001170-t30_1","P. coatneyi Hackeri","CP016239:546,302..546,946(-)","SICA antigen","468"
"PCOAH_00001180","PCOAH_00001180-t30_1","P. coatneyi Hackeri","CP016239:550,973..552,326(+)","KIR-like protein","852"
"PCOAH_00001190","PCOAH_00001190-t30_1","P. coatneyi Hackeri","CP016239:553,837..554,079(-)","hypothetical protein","243"
"PCOAH_00001200","PCOAH_00001200-t30_1","P. coatneyi Hackeri","CP016239:554,888..558,288(-)","SICA antigen","2406"
"PCOAH_00001210","PCOAH_00001210-t30_1","P. coatneyi Hackeri","CP016239:559,451..560,686(-)","hypothetical protein","978"
"PCOAH_00001220","PCOAH_00001220-t30_1","P. coatneyi Hackeri","CP016239:566,933..567,311(+)","hypothetical protein","351"
"PCOAH_00001230","PCOAH_00001230-t30_1","P. coatneyi Hackeri","CP016239:577,290..577,757(+)","Uncharacterized protein","468"
"PCOAH_00001240","PCOAH_00001240-t30_1","P. coatneyi Hackeri","CP016239:578,093..580,226(-)","Sin3 associated polypeptide p18-like protein","1968"
"PCOAH_00001250","PCOAH_00001250-t30_1","P. coatneyi Hackeri","CP016239:583,329..585,368(+)","Regulator of chromosome condensation","2040"
"PCOAH_00001260","PCOAH_00001260-t30_1","P. coatneyi Hackeri","CP016239:587,624..588,870(-)","Uncharacterized protein","1139"
"PCOAH_00001270","PCOAH_00001270-t30_1","P. coatneyi Hackeri","CP016239:589,608..590,496(-)","Uncharacterized protein","711"
"PCOAH_00001280","PCOAH_00001280-t30_1","P. coatneyi Hackeri","CP016239:593,205..594,830(+)","Eukaryotic aspartyl protease","1626"
"PCOAH_00001290","PCOAH_00001290-t30_1","P. coatneyi Hackeri","CP016239:595,603..599,845(-)","Uncharacterized protein","4077"
"PCOAH_00001300","PCOAH_00001300-t30_1","P. coatneyi Hackeri","CP016239:600,839..604,075(-)","Uncharacterized protein","3237"
"PCOAH_00001310","PCOAH_00001310-t30_1","P. coatneyi Hackeri","CP016239:604,962..606,392(-)","Tyrosyl-trna synthetase","1158"
"PCOAH_00001320","PCOAH_00001320-t30_1","P. coatneyi Hackeri","CP016239:607,567..609,061(+)","26S proteasome non-ATPase regulatory subunit 4","1395"
"PCOAH_00001330","PCOAH_00001330-t30_1","P. coatneyi Hackeri","CP016239:609,524..610,673(+)","DegP-like serine protease 1","999"
"PCOAH_00001340","PCOAH_00001340-t30_1","P. coatneyi Hackeri","CP016239:611,134..613,152(-)","Glutathione synthetase","2019"
"PCOAH_00001350","PCOAH_00001350-t30_1","P. coatneyi Hackeri","CP016239:613,775..618,036(+)","Uncharacterized protein","3744"
"PCOAH_00001360","PCOAH_00001360-t30_1","P. coatneyi Hackeri","CP016239:618,835..620,445(-)","Proteasome subunit alpha type 6","1128"
"PCOAH_00001370","PCOAH_00001370-t30_1","P. coatneyi Hackeri","CP016239:621,192..622,383(-)","Uncharacterized protein","618"
"PCOAH_00001380","PCOAH_00001380-t30_1","P. coatneyi Hackeri","CP016239:623,736..624,609(-)","Rab family","606"
"PCOAH_00001390","PCOAH_00001390-t30_1","P. coatneyi Hackeri","CP016239:626,927..628,311(-)","Uncharacterized protein","1233"
"PCOAH_00001400","PCOAH_00001400-t30_1","P. coatneyi Hackeri","CP016239:629,586..633,162(+)","RNA helicase","3501"
"PCOAH_00001410","PCOAH_00001410-t30_1","P. coatneyi Hackeri","CP016239:633,451..635,028(-)","Gas41-like protein","662"
"PCOAH_00001420","PCOAH_00001420-t30_1","P. coatneyi Hackeri","CP016239:635,618..636,802(+)","Uncharacterized protein","1185"
"PCOAH_00001430","PCOAH_00001430-t30_1","P. coatneyi Hackeri","CP016239:638,546..641,582(+)","V-type proton ATPase subunit a","2913"
"PCOAH_00001440","PCOAH_00001440-t30_1","P. coatneyi Hackeri","CP016239:647,247..650,357(+)","SICA antigen","2190"
"PCOAH_00001450","PCOAH_00001450-t30_1","P. coatneyi Hackeri","CP016239:650,961..652,432(-)","Variable surface protein Vir7-like","1098"
"PCOAH_00001460","PCOAH_00001460-t30_1","P. coatneyi Hackeri","CP016239:654,361..655,342(-)","KIR protein","828"
"PCOAH_00001470","PCOAH_00001470-t30_1","P. coatneyi Hackeri","CP016239:660,586..662,715(-)","KIR protein","1518"
"PCOAH_00001480","PCOAH_00001480-t30_1","P. coatneyi Hackeri","CP016239:663,834..665,400(-)","KIR protein","1224"
"PCOAH_00001490","PCOAH_00001490-t30_1","P. coatneyi Hackeri","CP016239:666,034..667,584(-)","Uncharacterized protein","1080"
"PCOAH_00001500","PCOAH_00001500-t30_1","P. coatneyi Hackeri","CP016239:674,404..675,720(-)","Dual specificity phosphatase","1317"
"PCOAH_00001510","PCOAH_00001510-t30_1","P. coatneyi Hackeri","CP016239:676,920..682,981(-)","Uncharacterized protein","5499"
"PCOAH_00001520","PCOAH_00001520-t30_1","P. coatneyi Hackeri","CP016239:683,998..686,686(+)","Kinesin-like protein","2358"
"PCOAH_00001530","PCOAH_00001530-t30_1","P. coatneyi Hackeri","CP016239:688,432..690,762(+)","DNAJ protein","2331"
"PCOAH_00001540","PCOAH_00001540-t30_1","P. coatneyi Hackeri","CP016239:691,502..692,050(-)","Glycosyltransferase","549"
"PCOAH_00001550","PCOAH_00001550-t30_1","P. coatneyi Hackeri","CP016239:693,138..698,414(+)","Uncharacterized protein","5025"
"PCOAH_00001560","PCOAH_00001560-t30_1","P. coatneyi Hackeri","CP016239:698,612..702,692(-)","Uncharacterized protein","3135"
"PCOAH_00001570","PCOAH_00001570-t30_1","P. coatneyi Hackeri","CP016239:703,821..705,398(-)","Uncharacterized protein","1578"
"PCOAH_00001580","PCOAH_00001580-t30_1","P. coatneyi Hackeri","CP016239:706,215..709,280(+)","AAA family ATPase","2835"
"PCOAH_00001590","PCOAH_00001590-t30_1","P. coatneyi Hackeri","CP016239:709,945..711,143(+)","Uncharacterized protein","630"
"PCOAH_00001600","PCOAH_00001600-t30_1","P. coatneyi Hackeri","CP016239:711,996..713,218(+)","Uncharacterized protein","1044"
"PCOAH_00001610","PCOAH_00001610-t30_1","P. coatneyi Hackeri","CP016239:718,233..722,731(+)","Serine/threonine protein kinase","4368"
"PCOAH_00001620","PCOAH_00001620-t30_1","P. coatneyi Hackeri","CP016239:724,188..725,141(-)","Phosphatase","954"
"PCOAH_00001630","PCOAH_00001630-t30_1","P. coatneyi Hackeri","CP016239:730,304..736,942(-)","SICA antigen","4416"
"PCOAH_00001640","PCOAH_00001640-t30_1","P. coatneyi Hackeri","CP016239:745,525..746,160(-)","SICA antigen","543"
"PCOAH_00001650","PCOAH_00001650-t30_1","P. coatneyi Hackeri","CP016239:746,913..751,494(-)","SICA antigen","2595"
"PCOAH_00001660","PCOAH_00001660-t30_1","P. coatneyi Hackeri","CP016239:761,190..767,239(-)","SICA antigen","3423"
"PCOAH_00001670","PCOAH_00001670-t30_1","P. coatneyi Hackeri","CP016239:773,967..776,354(+)","KIR protein","1734"
"PCOAH_00001680","PCOAH_00001680-t30_1","P. coatneyi Hackeri","CP016239:778,063..794,953(-)","SICA antigen","8463"
"PCOAH_00001690","PCOAH_00001690-t30_1","P. coatneyi Hackeri","CP016239:808,661..809,295(-)","SICA antigen","477"
"PCOAH_00001700","PCOAH_00001700-t30_1","P. coatneyi Hackeri","CP016239:811,503..815,712(-)","SICA antigen","3375"
"PCOAH_00001710","PCOAH_00001710-t30_1","P. coatneyi Hackeri","CP016239:835,828..837,187(-)","KIR protein","1200"
"PCOAH_00001720","PCOAH_00001720-t30_1","P. coatneyi Hackeri","CP016239:841,485..844,389(-)","SICA antigen","2109"
"PCOAH_00001730","PCOAH_00001730-t30_1","P. coatneyi Hackeri","CP016239:848,188..850,359(-)","KIR protein","1293"
"PCOAH_00001740","PCOAH_00001740-t30_1","P. coatneyi Hackeri","CP016239:857,126..857,723(-)","SICA antigen","576"
"PCOAH_00001750","PCOAH_00001750-t30_1","P. coatneyi Hackeri","CP016239:858,250..863,890(-)","SICA antigen","4071"
"PCOAH_00001760","PCOAH_00001760-t30_1","P. coatneyi Hackeri","CP016239:870,355..875,515(+)","Uncharacterized protein","3978"
"PCOAH_00001770","PCOAH_00001770-t30_1","P. coatneyi Hackeri","CP016239:882,812..886,516(+)","Uncharacterized protein","3705"
"PCOAH_00001780","PCOAH_00001780-t30_1","P. coatneyi Hackeri","CP016239:888,522..888,812(-)","Uncharacterized protein","291"
"PCOAH_00001790","PCOAH_00001790-t30_1","P. coatneyi Hackeri","CP016239:891,476..893,233(-)","Uncharacterized protein","1758"
"PCOAH_00001800","PCOAH_00001800-t30_1","P. coatneyi Hackeri","CP016239:895,547..898,001(+)","Uncharacterized protein","1379"
"PCOAH_00001810","PCOAH_00001810-t30_1","P. coatneyi Hackeri","CP016239:899,946..901,292(+)","GTPase activating protein for Arf","1347"
"PCOAH_00001820","PCOAH_00001820-t30_1","P. coatneyi Hackeri","CP016239:901,855..902,576(-)","Peptidyl-prolyl cis-trans isomerase","678"
"PCOAH_00001830","PCOAH_00001830-t30_1","P. coatneyi Hackeri","CP016239:903,765..909,983(+)","Uncharacterized protein","6219"
"PCOAH_00001840","PCOAH_00001840-t30_1","P. coatneyi Hackeri","CP016239:910,887..912,767(+)","Pseudouridylate synthase 1","1668"
"PCOAH_00001850","PCOAH_00001850-t30_1","P. coatneyi Hackeri","CP016239:913,259..928,270(-)","Uncharacterized protein","15012"
"PCOAH_00001860","PCOAH_00001860-t30_1","P. coatneyi Hackeri","CP016239:929,884..931,917(-)","Methionine aminopeptidase","2034"
"PCOAH_00001870","PCOAH_00001870-t30_1","P. coatneyi Hackeri","CP016239:932,793..934,550(-)","Uncharacterized protein","1758"
"PCOAH_00001880","PCOAH_00001880-t30_1","P. coatneyi Hackeri","CP016239:935,552..938,576(-)","Uncharacterized protein","2316"
"PCOAH_00001890","PCOAH_00001890-t30_1","P. coatneyi Hackeri","CP016239:941,683..942,556(+)","Proteasome subunit beta type","771"
"PCOAH_00001900","PCOAH_00001900-t30_1","P. coatneyi Hackeri","CP016239:942,839..944,197(-)","Tubulin gamma chain","1359"
"PCOAH_00001910","PCOAH_00001910-t30_1","P. coatneyi Hackeri","CP016239:946,067..949,610(-)","Tubulin gamma chain","2565"
"PCOAH_00001920","PCOAH_00001920-t30_1","P. coatneyi Hackeri","CP016239:950,689..953,991(-)","AAA family ATPase","3303"
"PCOAH_00001930","PCOAH_00001930-t30_1","P. coatneyi Hackeri","CP016239:955,687..958,884(-)","DNA repair protein rad54","3198"
"PCOAH_00001940","PCOAH_00001940-t30_1","P. coatneyi Hackeri","CP016239:959,900..961,788(-)","Mitogen-activated protein kinase organizer 1","1095"
"PCOAH_00001950","PCOAH_00001950-t30_1","P. coatneyi Hackeri","CP016239:964,049..965,901(+)","Uncharacterized protein","1743"
"PCOAH_00001960","PCOAH_00001960-t30_1","P. coatneyi Hackeri","CP016239:967,005..969,740(+)","Uncharacterized protein","2736"
"PCOAH_00001970","PCOAH_00001970-t30_1","P. coatneyi Hackeri","CP016239:969,923..971,710(-)","Uncharacterized protein","1788"
"PCOAH_00001980","PCOAH_00001980-t30_1","P. coatneyi Hackeri","CP016239:972,288..972,906(+)","Uncharacterized protein","477"
"PCOAH_00001990","PCOAH_00001990-t30_1","P. coatneyi Hackeri","CP016239:973,356..975,613(-)","Serine/threonine-protein phosphatase","1662"
"PCOAH_00002000","PCOAH_00002000-t30_1","P. coatneyi Hackeri","CP016239:977,317..985,398(-)","Uncharacterized protein","6762"
"PCOAH_00002010","PCOAH_00002010-t30_1","P. coatneyi Hackeri","CP016239:986,430..990,146(+)","Uncharacterized protein","3717"
"PCOAH_00002020","PCOAH_00002020-t30_1","P. coatneyi Hackeri","CP016239:990,254..992,963(-)","Uncharacterized protein","2427"
