"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Transcript Length","Is Pseudo"
"PocGH01_00014300","PocGH01_00014300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:67,990..69,320(-)","PIR protein","1059","No"
"PocGH01_00014400","PocGH01_00014400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:74,788..76,046(-)","PIR protein","993","No"
"PocGH01_00014450","PocGH01_00014450.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:79,703..80,664(-)","PIR protein, pseudogene","837","Yes"
"PocGH01_00014500","PocGH01_00014500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:84,931..86,214(-)","PIR protein","1026","No"
"PocGH01_00014600","PocGH01_00014600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_5:6,215..6,864(-)","hypothetical protein","381","No"
"PocGH01_00014700","PocGH01_00014700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_5:12,847..14,152(+)","PIR protein","1050","No"
"PocGH01_00014800","PocGH01_00014800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_5:19,498..21,031(+)","PIR protein","1437","No"
"PocGH01_00014900","PocGH01_00014900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_5:27,458..28,704(+)","Plasmodium exported protein, unknown function","1104","No"
"PocGH01_00015000","PocGH01_00015000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_5:32,315..33,477(+)","Plasmodium exported protein, unknown function","1020","No"
"PocGH01_00015100","PocGH01_00015100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_5:37,055..38,234(+)","Plasmodium exported protein, unknown function, pseudogene","1032","Yes"
"PocGH01_00015200","PocGH01_00015200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_5:43,569..44,713(+)","PIR protein, pseudogene","1014","Yes"
"PocGH01_00015300","PocGH01_00015300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_5:48,118..49,407(+)","PIR protein","1023","No"
"PocGH01_00015400","PocGH01_00015400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_5:51,530..52,800(+)","PIR protein, pseudogene","1014","Yes"
"PocGH01_00015500","PocGH01_00015500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_5:56,848..57,978(+)","PIR protein, pseudogene","906","Yes"
"PocGH01_00015550","PocGH01_00015550.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_5:61,358..62,502(+)","PIR protein, pseudogene","1008","Yes"
"PocGH01_00015600","PocGH01_00015600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_6:455..1,786(+)","elongation factor 1-alpha, putative","1332","No"
"PocGH01_00015700","PocGH01_00015700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_6:2,715..4,464(+)","protein kinase 5, putative","867","No"
"PocGH01_00015800","PocGH01_00015800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_6:5,929..18,024(-)","serine/threonine protein kinase, putative","12096","No"
"PocGH01_00015900","PocGH01_00015900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_6:21,023..22,589(-)","DnaJ protein, putative","606","No"
"PocGH01_00016000","PocGH01_00016000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_6:25,557..26,999(+)","regulator of chromosome condensation, putative","1443","No"
"PocGH01_00016100","PocGH01_00016100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_6:27,814..28,568(-)","conserved Plasmodium protein, unknown function","588","No"
"PocGH01_00016200","PocGH01_00016200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_6:30,238..33,195(-)","phosphatase 2A regulatory subunit-related protein, putative","2958","No"
"PocGH01_00016300","PocGH01_00016300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_6:35,727..37,668(-)","ubiquitin-conjugating enzyme E2, putative","609","No"
"PocGH01_00016400","PocGH01_00016400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_7:25..1,991(+)","mRNA-binding protein PUF2, putative","1443","No"
"PocGH01_00016500","PocGH01_00016500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_7:2,754..4,472(-)","conserved Plasmodium protein, unknown function","876","No"
"PocGH01_00016600","PocGH01_00016600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_7:6,432..13,336(+)","conserved Plasmodium protein, unknown function","6687","No"
"PocGH01_00016700","PocGH01_00016700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_7:14,527..15,888(-)","small GTP-binding protein sar1, putative","576","No"
"PocGH01_00016800","PocGH01_00016800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_7:17,958..18,248(+)","CDGSH iron-sulfur domain-containing protein, putative","291","No"
"PocGH01_00016900","PocGH01_00016900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_7:19,148..20,017(-)","prohibitin-like protein PHBL, putative","870","No"
"PocGH01_00017000","PocGH01_00017000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_7:21,396..25,765(-)","histone acetyltransferase, putative","3582","No"
"PocGH01_00017100","PocGH01_00017100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_7:28,934..32,596(+)","DNA helicase MCM9, putative","3663","No"
"PocGH01_00017200","PocGH01_00017200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_7:33,413..34,066(+)","conserved protein, unknown function","654","No"
"PocGH01_00017300","PocGH01_00017300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_7:34,295..36,291(-)","glutamyl-tRNA(Gln) amidotransferase subunit A, putative","1995","No"
"PocGH01_00017400","PocGH01_00017400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_7:38,508..39,511(+)","Plasmodium exported protein (PHIST), unknown function","855","No"
"PocGH01_00017500","PocGH01_00017500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_8:362..1,810(-)","hypothetical protein","1449","No"
"PocGH01_00017600","PocGH01_00017600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_8:3,075..4,909(-)","tripartite motif protein, putative, pseudogene","1815","Yes"
"PocGH01_00017700","PocGH01_00017700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_8:7,275..9,177(+)","conserved Plasmodium protein, unknown function, pseudogene","1890","Yes"
"PocGH01_00017800","PocGH01_00017800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_8:10,667..11,293(+)","CCAAT-binding transcription factor, putative","627","No"
"PocGH01_00017900","PocGH01_00017900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_8:13,800..15,073(-)","PIR protein","990","No"
"PocGH01_00018000","PocGH01_00018000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_8:18,842..19,624(+)","hypothetical protein","312","No"
"PocGH01_00018100","PocGH01_00018100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_9:5,309..6,679(+)","PIR protein, pseudogene","1209","Yes"
"PocGH01_00018200","PocGH01_00018200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_9:10,447..11,285(-)","PIR protein","717","No"
"PocGH01_00018300","PocGH01_00018300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_9:18,198..19,378(+)","PIR protein","927","No"
"PocGH01_00018400","PocGH01_00018400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_9:23,147..24,292(+)","PIR protein","870","No"
"PocGH01_00018500","PocGH01_00018500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_9:27,068..28,061(+)","PIR protein","630","No"
"PocGH01_00018600","PocGH01_00018600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_9:35,040..43,679(+)","reticulocyte binding protein 2b, putative","8460","No"
"PocGH01_00018700","PocGH01_00018700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_9:44,835..46,268(+)","PIR protein","1167","No"
"PocGH01_00018800","PocGH01_00018800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_9:50,458..59,065(+)","reticulocyte binding protein 2b, putative","8466","No"
"PocGH01_00018900","PocGH01_00018900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_9:60,989..61,843(+)","conserved Plasmodium protein, unknown function","693","No"
"PocGH01_00019000","PocGH01_00019000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_10:2,290..3,424(-)","PIR protein, pseudogene","870","Yes"
"PocGH01_00019100","PocGH01_00019100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_10:6,220..7,332(-)","PIR protein","843","No"
"PocGH01_00019200","PocGH01_00019200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_10:10,577..11,751(-)","PIR protein","936","No"
"PocGH01_00019300","PocGH01_00019300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_10:14,894..16,180(-)","PIR protein","1017","No"
"PocGH01_00019400","PocGH01_00019400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_10:21,893..30,342(-)","reticulocyte binding protein 2b, putative","8232","No"
"PocGH01_00019500","PocGH01_00019500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_10:42,690..43,795(-)","PIR protein","828","No"
"PocGH01_00019600","PocGH01_00019600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_10:48,568..50,171(+)","PIR protein","1341","No"
"PocGH01_00019700","PocGH01_00019700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_10:54,735..56,331(-)","PIR protein","1497","No"
"PocGH01_00019800","PocGH01_00019800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_11:228..1,331(+)","PIR protein","879","No"
"PocGH01_00019900","PocGH01_00019900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_11:6,314..7,601(+)","PIR protein","1047","No"
"PocGH01_00020000","PocGH01_00020000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_11:12,228..13,509(+)","PIR protein","1029","No"
"PocGH01_00020100","PocGH01_00020100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_11:18,292..26,707(+)","reticulocyte binding protein 2b, putative","8289","No"
"PocGH01_00020200","PocGH01_00020200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_11:29,959..31,777(+)","PIR protein, pseudogene","1716","Yes"
"PocGH01_00020300","PocGH01_00020300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_11:35,610..36,936(+)","PIR protein","1059","No"
"PocGH01_00020400","PocGH01_00020400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_11:41,475..42,750(+)","PIR protein","1020","No"
"PocGH01_00020500","PocGH01_00020500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_12:1,953..3,081(-)","Plasmodium exported protein, unknown function","1002","No"
"PocGH01_00020600","PocGH01_00020600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_12:7,348..8,813(-)","PIR protein","1182","No"
"PocGH01_00020700","PocGH01_00020700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_12:13,197..14,085(+)","Plasmodium exported protein, unknown function","750","No"
"PocGH01_00020800","PocGH01_00020800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_12:15,239..16,519(-)","PIR protein, pseudogene","915","Yes"
"PocGH01_00020900","PocGH01_00020900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_12:19,562..20,896(-)","PIR protein","1041","No"
"PocGH01_00021000","PocGH01_00021000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_12:29,245..30,842(+)","PIR protein","1314","No"
"PocGH01_00021200","PocGH01_00021200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_12:34,927..36,083(-)","PIR protein","888","No"
"PocGH01_00021300","PocGH01_00021300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_12:44,474..45,633(-)","PIR protein","888","No"
"PocGH01_00021400","PocGH01_00021400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_12:49,706..52,800(-)","reticulocyte binding protein 2b, putative","3093","No"
"PocGH01_00021500","PocGH01_00021500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_13:314..1,935(+)","PIR protein, pseudogene","1326","Yes"
"PocGH01_00021600","PocGH01_00021600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_13:5,777..11,413(+)","reticulocyte binding protein 2b, putative, pseudogene","5467","Yes"
"PocGH01_00021700","PocGH01_00021700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_14:4,102..5,306(-)","PIR protein","945","No"
"PocGH01_00021800","PocGH01_00021800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_14:9,073..10,407(-)","PIR protein","1050","No"
"PocGH01_00021900","PocGH01_00021900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_14:15,810..17,132(-)","PIR protein","1023","No"
"PocGH01_00022000","PocGH01_00022000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_14:24,385..25,581(-)","PIR protein","945","No"
"PocGH01_00022100","PocGH01_00022100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_14:29,340..30,676(-)","PIR protein","1071","No"
"PocGH01_00022150","PocGH01_00022150.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_14:38,215..39,178(+)","PIR protein, pseudogene","780","Yes"
"PocGH01_00022200","PocGH01_00022200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_14:41,396..42,833(+)","PIR protein","1164","No"
"PocGH01_00022300","PocGH01_00022300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_14:46,938..48,898(+)","PIR protein, pseudogene","1821","Yes"
"PocGH01_00022500","PocGH01_00022500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_14:50,361..58,731(-)","reticulocyte binding protein 2b, putative","8208","No"
"PocGH01_00022600","PocGH01_00022600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_15:1..6,720(-)","reticulocyte binding protein 2b, putative","6553","No"
"PocGH01_00022700","PocGH01_00022700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_15:10,586..12,637(-)","PIR protein","1461","No"
"PocGH01_00022800","PocGH01_00022800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_15:16,397..17,642(+)","PIR protein, pseudogene","1129","Yes"
"PocGH01_00022900","PocGH01_00022900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_15:19,759..21,038(-)","PIR protein","1017","No"
"PocGH01_00022950","PocGH01_00022950.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_15:25,945..27,142(-)","PIR protein, pseudogene","1050","Yes"
"PocGH01_00023000","PocGH01_00023000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_15:32,331..33,115(+)","Plasmodium exported protein, unknown function, pseudogene","672","Yes"
"PocGH01_00023100","PocGH01_00023100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_15:39,085..40,407(-)","PIR protein","1053","No"
"PocGH01_00023200","PocGH01_00023200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_15:45,455..47,114(-)","PIR protein, pseudogene","1560","Yes"
"PocGH01_00023300","PocGH01_00023300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_15:53,236..55,038(-)","PIR protein, pseudogene","1698","Yes"
"PocGH01_00023400","PocGH01_00023400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_16:5,002..7,179(+)","PIR protein","2010","No"
"PocGH01_00023500","PocGH01_00023500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_16:17,444..18,973(+)","PIR protein","1428","No"
"PocGH01_00023600","PocGH01_00023600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_16:22,911..24,209(+)","PIR protein","1026","No"
"PocGH01_00023700","PocGH01_00023700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_16:26,602..28,348(-)","PIR protein","1479","No"
"PocGH01_00023900","PocGH01_00023900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_16:41,554..49,927(+)","reticulocyte binding protein 2b, putative","8223","No"
"PocGH01_00024000","PocGH01_00024000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_16:54,646..55,911(+)","PIR protein","1026","No"
"PocGH01_00024100","PocGH01_00024100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_16:62,528..63,810(+)","PIR protein","1041","No"
"PocGH01_00024200","PocGH01_00024200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_16:67,518..68,786(+)","PIR protein","1017","No"
"PocGH01_00024300","PocGH01_00024300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_16:72,233..73,483(+)","PIR protein","1011","No"
"PocGH01_00024400","PocGH01_00024400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_17:3,722..5,589(+)","PIR protein","1416","No"
"PocGH01_00024500","PocGH01_00024500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_17:12,298..20,572(+)","reticulocyte binding protein 2b, putative, pseudogene","8265","Yes"
"PocGH01_00024600","PocGH01_00024600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_17:24,975..26,148(+)","PIR protein","894","No"
"PocGH01_00024700","PocGH01_00024700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_17:33,213..34,771(-)","PIR protein","1290","No"
"PocGH01_00024800","PocGH01_00024800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_17:49,730..51,249(+)","PIR protein","1419","No"
"PocGH01_00024900","PocGH01_00024900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_17:58,015..59,294(+)","PIR protein","1020","No"
"PocGH01_00025000","PocGH01_00025000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_17:62,307..63,458(+)","PIR protein, pseudogene","876","Yes"
"PocGH01_00025100","PocGH01_00025100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_17:72,318..72,761(-)","hypothetical protein","444","No"
"PocGH01_00025200","PocGH01_00025200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_17:80,270..81,123(-)","Plasmodium exported protein, unknown function","732","No"
"PocGH01_00025300","PocGH01_00025300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_18:4,272..5,367(+)","PIR protein, pseudogene","966","Yes"
"PocGH01_00025400","PocGH01_00025400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_18:6,495..8,698(-)","PIR protein","1779","No"
"PocGH01_00025500","PocGH01_00025500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_18:16,308..18,574(-)","PIR protein","1779","No"
"PocGH01_00025600","PocGH01_00025600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_18:21,244..22,861(-)","PIR protein","1353","No"
"PocGH01_00025700","PocGH01_00025700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_18:30,876..31,860(+)","PIR protein, pseudogene","876","Yes"
"PocGH01_00025800","PocGH01_00025800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_19:1,711..2,772(-)","Plasmodium exported protein, unknown function","915","No"
"PocGH01_00025900","PocGH01_00025900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_19:6,171..9,448(-)","STP1 protein","2946","No"
"PocGH01_00026000","PocGH01_00026000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_19:14,161..15,190(-)","PIR protein, pseudogene","750","Yes"
"PocGH01_00026100","PocGH01_00026100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_19:18,284..19,614(-)","PIR protein","1068","No"
"PocGH01_00026200","PocGH01_00026200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_19:22,142..23,355(-)","PIR protein","969","No"
"PocGH01_00026300","PocGH01_00026300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_19:27,280..28,424(-)","PIR protein","1029","No"
"PocGH01_00026400","PocGH01_00026400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_19:31,520..32,704(-)","PIR protein","906","No"
"PocGH01_00026500","PocGH01_00026500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_19:35,703..36,906(-)","PIR protein","963","No"
"PocGH01_00026600","PocGH01_00026600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_20:4,234..5,614(+)","PIR protein","972","No"
"PocGH01_00026700","PocGH01_00026700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_20:8,755..9,808(+)","PIR protein","846","No"
"PocGH01_00026800","PocGH01_00026800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_20:15,364..16,886(+)","PIR protein","1026","No"
"PocGH01_00026900","PocGH01_00026900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_20:20,688..22,053(+)","PIR protein","1005","No"
"PocGH01_00027000","PocGH01_00027000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_20:26,890..28,223(+)","PIR protein","966","No"
