"experiment" "assembly" "num_uniq_mRNA_pirHMMerORFs_nomatch95known_over200aa" "num_transcripts" "num_ORFs_predict" "num_ORFs_over200aaLength" "num_ORFs_novel_nomatch95known" "num_uniq_mRNA_ORFs_predict" "num_uniq_mRNA_ORFs_over200aaLength" "num_uniq_mRNA_ORF_novel_nomatch95known" "knwn_trnscrpt_cvg_over75" "ancestral_over75" "knwn_trnscrpt_cvg_over95" "zhu16_trnscrpt_cvg_over95" "Sal1_trnscrpt_cvg_over95" "P01_trnscrpt_cvg_over95" "ancestral_over95" "mean_mismatches" "mean_gaps" "med_mismatches" "med_gaps" "assembly_file" "orf_file" "blast_file" "Cat.Sample.stage.s." "experiment_num" "expt_colour" "num_mRNA_pir_over200aa_over1TPM"
"11" "Cheng19" "ERX2560126_ERR2541708_Cheng19_scspades_0.95cdhitest" 1 51734 6 1 4 6 1 4 1 0 1 1 0 0 "0" 2 1 2 1 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560126_ERR2541708_Cheng19/ERX2560126_ERR2541708_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560126_ERR2541708_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560126_ERR2541708_Cheng19/ERX2560126_ERR2541708_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 1
"12" "Cheng19" "ERX2560127_ERR2541709_Cheng19_scspades_0.95cdhitest" 14 56631 53 14 40 53 14 40 16 2 4 1 2 1 "PVP01_1147700.1-p1" 1.5 0.25 1 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560127_ERR2541709_Cheng19/ERX2560127_ERR2541709_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560127_ERR2541709_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560127_ERR2541709_Cheng19/ERX2560127_ERR2541709_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 14
"13" "Cheng19" "ERX2560128_ERR2541710_Cheng19_scspades_0.95cdhitest" 5 50625 19 5 16 19 5 16 7 0 2 2 0 0 "0" 9.5 0 9.5 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560128_ERR2541710_Cheng19/ERX2560128_ERR2541710_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560128_ERR2541710_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560128_ERR2541710_Cheng19/ERX2560128_ERR2541710_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 5
"14" "Cheng19" "ERX2560129_ERR2541711_Cheng19_scspades_0.95cdhitest" 51 60046 121 52 96 119 52 95 47 2 13 0 8 5 "PVP01_1147700.1-p1" 7.38461538461539 0.384615384615385 5 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560129_ERR2541711_Cheng19/ERX2560129_ERR2541711_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560129_ERR2541711_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560129_ERR2541711_Cheng19/ERX2560129_ERR2541711_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 52
"15" "Cheng19" "ERX2560130_ERR2541712_Cheng19_scspades_0.95cdhitest" 22 92973 63 23 45 61 23 44 28 2 6 1 3 2 "PVP01_1147700.1-p1" 1 0.333333333333333 0 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560130_ERR2541712_Cheng19/ERX2560130_ERR2541712_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560130_ERR2541712_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560130_ERR2541712_Cheng19/ERX2560130_ERR2541712_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 23
"16" "Cheng19" "ERX2560131_ERR2541713_Cheng19_scspades_0.95cdhitest" 18 93566 49 19 40 49 19 40 26 2 7 1 4 2 "PVP01_1147700.1-p1" 0.571428571428571 0.285714285714286 0 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560131_ERR2541713_Cheng19/ERX2560131_ERR2541713_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560131_ERR2541713_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560131_ERR2541713_Cheng19/ERX2560131_ERR2541713_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 19
"17" "Cheng19" "ERX2560132_ERR2541714_Cheng19_scspades_0.95cdhitest" 0 31737 0 0 0 0 0 0 0 0 0 0 0 0 "0" 0 0 0 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560132_ERR2541714_Cheng19/ERX2560132_ERR2541714_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560132_ERR2541714_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560132_ERR2541714_Cheng19/ERX2560132_ERR2541714_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 0
"18" "Cheng19" "ERX2560133_ERR2541715_Cheng19_scspades_0.95cdhitest" 8 81470 20 8 15 20 8 15 9 0 1 1 0 0 "0" 2 1 2 1 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560133_ERR2541715_Cheng19/ERX2560133_ERR2541715_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560133_ERR2541715_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560133_ERR2541715_Cheng19/ERX2560133_ERR2541715_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 8
"19" "Cheng19" "ERX2560134_ERR2541716_Cheng19_scspades_0.95cdhitest" 3 41322 12 3 8 12 3 8 6 0 1 1 0 0 "0" 2 1 2 1 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560134_ERR2541716_Cheng19/ERX2560134_ERR2541716_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560134_ERR2541716_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560134_ERR2541716_Cheng19/ERX2560134_ERR2541716_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 3
"20" "Zhu16" "Zhu16_SMRU1_scspades_0.95cdhitest" 200 16663 437 205 323 432 204 319 138 0 29 8 14 7 "0" 4.89655172413793 0.275862068965517 3 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Zhu16_SMRU1/Zhu16_SMRU1_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Zhu16_SMRU1_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Zhu16_SMRU1/Zhu16_SMRU1_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E01" "#88CCEE" 163
"21" "Zhu16" "Zhu16_SMRU2_scspades_0.95cdhitest" 413 20815 674 435 550 662 429 542 235 0 63 27 15 21 "0" 3.77777777777778 0.111111111111111 1 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Zhu16_SMRU2/Zhu16_SMRU2_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Zhu16_SMRU2_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Zhu16_SMRU2/Zhu16_SMRU2_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E01" "#88CCEE" 243
"22" "Zhu16" "Zhu16_SMRUmix_scspades_0.95cdhitest" 327 23627 680 344 515 667 340 506 170 0 53 27 13 13 "0" 4.39622641509434 0.207547169811321 2 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Zhu16_SMRUmix/Zhu16_SMRUmix_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Zhu16_SMRUmix_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Zhu16_SMRUmix/Zhu16_SMRUmix_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E01" "#88CCEE" 93
"23" "Muller19" "Muller19_Thai1_scspades_0.95cdhitest" 1 19296 3 1 3 3 1 3 1 0 0 0 0 0 "0" NA NA NA NA "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai1/Muller19_Thai1_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai1_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai1/Muller19_Thai1_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0
"24" "Muller19" "Muller19_Thai2_scspades_0.95cdhitest" 1 17896 1 1 1 1 1 1 0 0 0 0 0 0 "0" NA NA NA NA "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai2/Muller19_Thai2_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai2_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai2/Muller19_Thai2_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0
"25" "Muller19" "Muller19_Thai3_scspades_0.95cdhitest" 0 17723 5 0 4 5 0 4 0 0 0 0 0 0 "0" NA NA NA NA "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai3/Muller19_Thai3_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai3_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai3/Muller19_Thai3_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0
"26" "Muller19" "Muller19_Thai4_scspades_0.95cdhitest" 1 19677 3 1 3 3 1 3 0 0 0 0 0 0 "0" NA NA NA NA "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai4/Muller19_Thai4_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai4_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai4/Muller19_Thai4_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 1
"27" "Muller19" "Muller19_Thai5_scspades_0.95cdhitest" 0 7389 0 0 0 0 0 0 0 0 0 0 0 0 "0" 0 0 0 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai5/Muller19_Thai5_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai5_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai5/Muller19_Thai5_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0
"28" "Muller19" "Muller19_Thai6_scspades_0.95cdhitest" 2 21538 3 2 3 3 2 3 1 0 1 0 1 0 "0" 14 0 14 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai6/Muller19_Thai6_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai6_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai6/Muller19_Thai6_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0
"29" "Muller19" "Muller19_Thai7_scspades_0.95cdhitest" 25 43787 84 26 61 84 26 61 8 0 1 0 0 1 "0" 8 0 8 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai7/Muller19_Thai7_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai7_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai7/Muller19_Thai7_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0
"30" "Muller19" "Muller19_Thai8_scspades_0.95cdhitest" 1 48564 2 1 2 2 1 2 0 0 0 0 0 0 "0" NA NA NA NA "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai8/Muller19_Thai8_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai8_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai8/Muller19_Thai8_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0
