"experiment" "assembly.x" "num_uniq_mRNA_pirHMMerORFs_nomatch95known_over200aa" "num_transcripts" "num_ORFs_predict" "num_ORFs_over200aaLength" "num_ORFs_novel_nomatch95known" "num_uniq_mRNA_ORFs_predict" "num_uniq_mRNA_ORFs_over200aaLength" "num_uniq_mRNA_ORF_novel_nomatch95known" "knwn_trnscrpt_cvg_over75" "ancestral_over75" "knwn_trnscrpt_cvg_over95" "zhu16_trnscrpt_cvg_over95" "Sal1_trnscrpt_cvg_over95" "P01_trnscrpt_cvg_over95" "ancestral_over95" "mean_mismatches" "mean_gaps" "med_mismatches" "med_gaps" "assembly_file" "orf_file" "blast_file" "Cat.Sample.stage.s." "experiment_num" "expt_colour" "num_mRNA_pir_over200aa_over1TPM" "assembly.y" "assembly_name" "Experiment" "num_busco_api_complete" "perc_busco_api_complete" "num_busco_api_fragment" "perc_busco_api_fragment" "num_busco_api_duplicate" "perc_busco_api_duplicate" "perc_busco_api_nonMissing" "num_busco_plasmo_complete" "perc_busco_plasmo_complete" "num_busco_plasmo_fragment" "perc_busco_plasmo_fragment" "num_busco_plasmo_duplicate" "perc_busco_plasmo_duplicate" "perc_busco_plasmo_nonMissing"
"11" "Cheng19" "ERX2560126_ERR2541708_Cheng19_scspades_0.95cdhitest" 1 51734 6 1 4 6 1 4 1 0 1 1 0 0 "0" 2 1 2 1 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560126_ERR2541708_Cheng19/ERX2560126_ERR2541708_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560126_ERR2541708_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560126_ERR2541708_Cheng19/ERX2560126_ERR2541708_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 1 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560126_ERR2541708_Cheng19/ERX2560126_ERR2541708_Cheng19_0.95_cdhitest.fasta" "ERX2560126_ERR2541708_Cheng19" "Cheng19" 51 11.435 77 17.265 1 0.224 28.924 128 3.515 101 2.773 1 0.027 6.315
"12" "Cheng19" "ERX2560127_ERR2541709_Cheng19_scspades_0.95cdhitest" 14 56631 53 14 40 53 14 40 16 2 4 1 2 1 "PVP01_1147700.1-p1" 1.5 0.25 1 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560127_ERR2541709_Cheng19/ERX2560127_ERR2541709_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560127_ERR2541709_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560127_ERR2541709_Cheng19/ERX2560127_ERR2541709_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 14 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560127_ERR2541709_Cheng19/ERX2560127_ERR2541709_Cheng19_0.95_cdhitest.fasta" "ERX2560127_ERR2541709_Cheng19" "Cheng19" 215 48.206 125 28.027 5 1.121 77.354 707 19.412 436 11.971 0 0 31.384
"13" "Cheng19" "ERX2560128_ERR2541710_Cheng19_scspades_0.95cdhitest" 5 50625 19 5 16 19 5 16 7 0 2 2 0 0 "0" 9.5 0 9.5 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560128_ERR2541710_Cheng19/ERX2560128_ERR2541710_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560128_ERR2541710_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560128_ERR2541710_Cheng19/ERX2560128_ERR2541710_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 5 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560128_ERR2541710_Cheng19/ERX2560128_ERR2541710_Cheng19_0.95_cdhitest.fasta" "ERX2560128_ERR2541710_Cheng19" "Cheng19" 128 28.7 131 29.372 1 0.224 58.296 340 9.336 293 8.045 0 0 17.381
"14" "Cheng19" "ERX2560129_ERR2541711_Cheng19_scspades_0.95cdhitest" 51 60046 121 52 96 119 52 95 47 2 13 0 8 5 "PVP01_1147700.1-p1" 7.38461538461539 0.384615384615385 5 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560129_ERR2541711_Cheng19/ERX2560129_ERR2541711_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560129_ERR2541711_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560129_ERR2541711_Cheng19/ERX2560129_ERR2541711_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 52 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560129_ERR2541711_Cheng19/ERX2560129_ERR2541711_Cheng19_0.95_cdhitest.fasta" "ERX2560129_ERR2541711_Cheng19" "Cheng19" 164 36.771 108 24.215 4 0.897 61.883 677 18.589 407 11.175 0 0 29.764
"15" "Cheng19" "ERX2560130_ERR2541712_Cheng19_scspades_0.95cdhitest" 22 92973 63 23 45 61 23 44 28 2 6 1 3 2 "PVP01_1147700.1-p1" 1 0.333333333333333 0 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560130_ERR2541712_Cheng19/ERX2560130_ERR2541712_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560130_ERR2541712_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560130_ERR2541712_Cheng19/ERX2560130_ERR2541712_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 23 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560130_ERR2541712_Cheng19/ERX2560130_ERR2541712_Cheng19_0.95_cdhitest.fasta" "ERX2560130_ERR2541712_Cheng19" "Cheng19" 199 44.619 97 21.749 7 1.57 67.937 483 13.262 303 8.32 1 0.027 21.609
"16" "Cheng19" "ERX2560131_ERR2541713_Cheng19_scspades_0.95cdhitest" 18 93566 49 19 40 49 19 40 26 2 7 1 4 2 "PVP01_1147700.1-p1" 0.571428571428571 0.285714285714286 0 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560131_ERR2541713_Cheng19/ERX2560131_ERR2541713_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560131_ERR2541713_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560131_ERR2541713_Cheng19/ERX2560131_ERR2541713_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 19 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560131_ERR2541713_Cheng19/ERX2560131_ERR2541713_Cheng19_0.95_cdhitest.fasta" "ERX2560131_ERR2541713_Cheng19" "Cheng19" 203 45.516 97 21.749 9 2.018 69.283 527 14.47 289 7.935 1 0.027 22.433
"17" "Cheng19" "ERX2560132_ERR2541714_Cheng19_scspades_0.95cdhitest" 0 31737 0 0 0 0 0 0 0 0 0 0 0 0 "0" 0 0 0 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560132_ERR2541714_Cheng19/ERX2560132_ERR2541714_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560132_ERR2541714_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560132_ERR2541714_Cheng19/ERX2560132_ERR2541714_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560132_ERR2541714_Cheng19/ERX2560132_ERR2541714_Cheng19_0.95_cdhitest.fasta" "ERX2560132_ERR2541714_Cheng19" "Cheng19" 10 2.242 16 3.587 1 0.224 6.054 24 0.659 14 0.384 0 0 1.043
"18" "Cheng19" "ERX2560133_ERR2541715_Cheng19_scspades_0.95cdhitest" 8 81470 20 8 15 20 8 15 9 0 1 1 0 0 "0" 2 1 2 1 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560133_ERR2541715_Cheng19/ERX2560133_ERR2541715_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560133_ERR2541715_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560133_ERR2541715_Cheng19/ERX2560133_ERR2541715_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 8 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560133_ERR2541715_Cheng19/ERX2560133_ERR2541715_Cheng19_0.95_cdhitest.fasta" "ERX2560133_ERR2541715_Cheng19" "Cheng19" 116 26.009 98 21.973 11 2.466 50.448 251 6.892 171 4.695 2 0.055 11.642
"19" "Cheng19" "ERX2560134_ERR2541716_Cheng19_scspades_0.95cdhitest" 3 41322 12 3 8 12 3 8 6 0 1 1 0 0 "0" 2 1 2 1 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560134_ERR2541716_Cheng19/ERX2560134_ERR2541716_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560134_ERR2541716_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560134_ERR2541716_Cheng19/ERX2560134_ERR2541716_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 3 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560134_ERR2541716_Cheng19/ERX2560134_ERR2541716_Cheng19_0.95_cdhitest.fasta" "ERX2560134_ERR2541716_Cheng19" "Cheng19" 126 28.251 121 27.13 3 0.673 56.054 321 8.814 296 8.127 0 0 16.941
"20" "Zhu16" "Zhu16_SMRU1_scspades_0.95cdhitest" 200 16663 437 205 323 432 204 319 138 0 29 8 14 7 "0" 4.89655172413793 0.275862068965517 3 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Zhu16_SMRU1/Zhu16_SMRU1_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Zhu16_SMRU1_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Zhu16_SMRU1/Zhu16_SMRU1_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E01" "#88CCEE" 163 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Zhu16_SMRU1/Zhu16_SMRU1_0.95_cdhitest.fasta" "Zhu16_SMRU1" "Zhu16" 342 76.682 48 10.762 2 0.448 87.892 2377 65.266 456 12.521 0 0 77.787
