"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Gene has Unmatched Transcripts","Gene Name or Symbol","gene_source_id","Previous ID(s)","Transcript Product Description","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Gene Strand","Gene Type","Is Pseudo","Transcript Length","Chromosome","Genomic Location (Transcript)","Genomic Sequence ID","Ortholog count","Ortholog Group","Paralog count"
"PBANKA_0008101","PBANKA_0008101.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_3:16,627..18,240(-)","fam-a protein","no","null","PBANKA_0008101","null","fam-a protein","6","6","1","null","null","reverse","protein coding","No","969","Not Assigned","PbANKA_00_v3_archived_contig_3:16627..18240(-)","PbANKA_00_v3_archived_contig_3","2","OG6r1_107893","4"
"PBANKA_0008201","PBANKA_0008201.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_3:21,666..22,876(+)","PIR protein","no","null","PBANKA_0008201","null","PIR protein","3","3","1","null","null","forward","protein coding","No","996","Not Assigned","PbANKA_00_v3_archived_contig_3:21666..22876(+)","PbANKA_00_v3_archived_contig_3","9","OG6r1_101312","6"
"PBANKA_0008301","PBANKA_0008301.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_4:403..888(+)","PIR protein, pseudogene","no","null","PBANKA_0008301","null","PIR protein, pseudogene","3","3","1","null","null","forward","protein coding","Yes","483","Not Assigned","PbANKA_00_v3_archived_contig_4:403..888(+)","PbANKA_00_v3_archived_contig_4","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0008401","PBANKA_0008401.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_4:2,673..3,454(+)","PIR protein, pseudogene","no","null","PBANKA_0008401","null","PIR protein, pseudogene","5","5","1","null","null","forward","protein coding","Yes","687","Not Assigned","PbANKA_00_v3_archived_contig_4:2673..3454(+)","PbANKA_00_v3_archived_contig_4","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0008501","PBANKA_0008501.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_4:4,997..5,774(+)","PIR protein, pseudogene","no","null","PBANKA_0008501","null","PIR protein, pseudogene","5","5","1","null","null","forward","protein coding","Yes","681","Not Assigned","PbANKA_00_v3_archived_contig_4:4997..5774(+)","PbANKA_00_v3_archived_contig_4","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0008601","PBANKA_0008601.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_4:7,228..8,044(+)","PIR protein, pseudogene","no","null","PBANKA_0008601","null","PIR protein, pseudogene","3","3","1","null","null","forward","protein coding","Yes","726","Not Assigned","PbANKA_00_v3_archived_contig_4:7228..8044(+)","PbANKA_00_v3_archived_contig_4","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0008701","PBANKA_0008701.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_4:9,538..9,984(+)","PIR protein, pseudogene","no","null","PBANKA_0008701","null","PIR protein, pseudogene","3","3","1","null","null","forward","protein coding","Yes","444","Not Assigned","PbANKA_00_v3_archived_contig_4:9538..9984(+)","PbANKA_00_v3_archived_contig_4","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0008801","PBANKA_0008801.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_5:11..697(+)","PIR protein, pseudogene","no","null","PBANKA_0008801","null","PIR protein, pseudogene","3","3","1","null","null","forward","protein coding","Yes","597","Not Assigned","PbANKA_00_v3_archived_contig_5:11..697(+)","PbANKA_00_v3_archived_contig_5","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0008901","PBANKA_0008901.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_5:2,241..2,994(+)","PIR protein, pseudogene","no","null","PBANKA_0008901","null","PIR protein, pseudogene","5","5","1","null","null","forward","protein coding","Yes","657","Not Assigned","PbANKA_00_v3_archived_contig_5:2241..2994(+)","PbANKA_00_v3_archived_contig_5","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0009101","PBANKA_0009101.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_5:4,502..5,286(+)","PIR protein, pseudogene","no","null","PBANKA_0009101","null","PIR protein, pseudogene","5","5","1","null","null","forward","protein coding","Yes","690","Not Assigned","PbANKA_00_v3_archived_contig_5:4502..5286(+)","PbANKA_00_v3_archived_contig_5","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0100021","PBANKA_0100021.1","Plasmodium berghei ANKA","PbANKA_01_v3:1,098..2,047(-)","fam-b protein","no","null","PBANKA_0100021","Previous IDs: PB402699.00.0;PBANKA_020080","fam-b protein","2","2","1","null","null","reverse","protein coding","No","777","01","PbANKA_01_v3:1098..2047(-)","PbANKA_01_v3","35","OG6_118740","0"
"PBANKA_0100041","PBANKA_0100041.1","Plasmodium berghei ANKA","PbANKA_01_v3:8,896..14,118(+)","conserved rodent malaria protein, unknown function","no","null","PBANKA_0100041","Previous IDs: PB401947.00.0;PBANKA_020090","conserved rodent malaria protein, unknown function","1","1","1","null","null","forward","protein coding","No","5223","01","PbANKA_01_v3:8896..14118(+)","PbANKA_01_v3","3","OG6_156079","2"
"PBANKA_0100061","PBANKA_0100061.1","Plasmodium berghei ANKA","PbANKA_01_v3:21,970..22,548(-)","fam-c protein","no","null","PBANKA_0100061","Previous IDs: PB107749.00.0;PBANKA_000520","fam-c protein","2","2","1","null","null","reverse","protein coding","No","411","01","PbANKA_01_v3:21970..22548(-)","PbANKA_01_v3","6","OG6r1_107894","0"
"PBANKA_0100081","PBANKA_0100081.1","Plasmodium berghei ANKA","PbANKA_01_v3:24,218..25,286(-)","PIR protein, pseudogene","no","null","PBANKA_0100081","Previous IDs: PBANKA_100045","PIR protein, pseudogene","6","6","1","null","null","reverse","protein coding","Yes","876","01","PbANKA_01_v3:24218..25286(-)","PbANKA_01_v3","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0100100","PBANKA_0100100.1","Plasmodium berghei ANKA","PbANKA_01_v3:26,371..27,916(+)","fam-a protein","no","null","PBANKA_0100100","Previous IDs: PB100485.00.0;PB108427.00.0;PB300838.00.0;PBANKA_010010","fam-a protein","6","6","1","null","null","forward","protein coding","No","795","01","PbANKA_01_v3:26371..27916(+)","PbANKA_01_v3","796","OG6_100943","37"
"PBANKA_0100200","PBANKA_0100200.1","Plasmodium berghei ANKA","PbANKA_01_v3:29,285..30,482(+)","Plasmodium exported protein, unknown function","no","null","PBANKA_0100200","Previous IDs: PB108789.00.0;PB402722.00.0;PBANKA_010020","Plasmodium exported protein, unknown function","2","2","1","null","null","forward","protein coding","No","1026","01","PbANKA_01_v3:29285..30482(+)","PbANKA_01_v3","11","OG6r1_102326","1"
"PBANKA_0100300","PBANKA_0100300.1","Plasmodium berghei ANKA","PbANKA_01_v3:33,270..34,584(+)","lysophospholipase, putative, pseudogene","no","null","PBANKA_0100300","Previous IDs: PB001224.02.0;PB301251.00.0;PBANKA_010030","lysophospholipase, putative, pseudogene","7","7","1","null","null","forward","protein coding","Yes","1305","01","PbANKA_01_v3:33270..34584(+)","PbANKA_01_v3","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0100400","PBANKA_0100400.1","Plasmodium berghei ANKA","PbANKA_01_v3:36,844..38,783(+)","reticulocyte binding protein, putative","no","Pb235","PBANKA_0100400","Previous IDs: PB105536.00.0;PBANKA_010040","reticulocyte binding protein, putative","2","2","1","null","null","forward","protein coding","No","1842","01","PbANKA_01_v3:36844..38783(+)","PbANKA_01_v3","7","OG6r1_105298","1"
"PBANKA_0100500","PBANKA_0100500.1","Plasmodium berghei ANKA","PbANKA_01_v3:40,052..41,483(-)","PIR protein","no","null","PBANKA_0100500","Previous IDs: PB106914.00.0;PB402406.00.0;PBANKA_010050","PIR protein","3","3","1","null","null","reverse","protein coding","No","1056","01","PbANKA_01_v3:40052..41483(-)","PbANKA_01_v3","18","OG6r1_100885","0"
"PBANKA_0100600","PBANKA_0100600.1","Plasmodium berghei ANKA","PbANKA_01_v3:42,789..43,271(+)","schizont membrane associated cytoadherence protein","no","SMAC","PBANKA_0100600","Previous IDs: PB106913.00.0;PBANKA_010060","schizont membrane associated cytoadherence protein","1","1","1","null","null","forward","protein coding","No","483","01","PbANKA_01_v3:42789..43271(+)","PbANKA_01_v3","6","OG6r1_107895","0"
"PBANKA_0100700","PBANKA_0100700.1","Plasmodium berghei ANKA","PbANKA_01_v3:45,315..46,473(+)","Plasmodium exported protein, unknown function","no","null","PBANKA_0100700","Previous IDs: PB102655.00.0;PB402379.00.0;PBANKA_010070","Plasmodium exported protein, unknown function","2","2","1","null","null","forward","protein coding","No","966","01","PbANKA_01_v3:45315..46473(+)","PbANKA_01_v3","5","OG6r1_109828","0"
"PBANKA_0100800","PBANKA_0100800.1","Plasmodium berghei ANKA","PbANKA_01_v3:47,559..51,707(-)","zinc finger protein, putative","no","null","PBANKA_0100800","Previous IDs: PB000291.01.0;PB300775.00.0;PBANKA_010080","zinc finger protein, putative","1","1","1","null","null","reverse","protein coding","No","4149","01","PbANKA_01_v3:47559..51707(-)","PbANKA_01_v3","46","OG6_130927","0"
"PBANKA_0100900","PBANKA_0100900.1","Plasmodium berghei ANKA","PbANKA_01_v3:56,253..60,273(+)","ATP-dependent RNA helicase, putative","no","null","PBANKA_0100900","Previous IDs: PB001112.02.0;PB301243.00.0;PBANKA_010090","ATP-dependent RNA helicase, putative","2","2","1","null","null","forward","protein coding","No","3903","01","PbANKA_01_v3:56253..60273(+)","PbANKA_01_v3","88","OG6_100340","1"
"PBANKA_0101000","PBANKA_0101000.1","Plasmodium berghei ANKA","PbANKA_01_v3:61,396..62,666(+)","MYND-type zinc finger protein, putative","no","null","PBANKA_0101000","Previous IDs: PB001117.02.0;PB300247.00.0;PB300583.00.0;PBANKA_010100","MYND-type zinc finger protein, putative","3","3","1","null","null","forward","protein coding","No","789","01","PbANKA_01_v3:61396..62666(+)","PbANKA_01_v3","44","OG6_110519","0"
"PBANKA_0101100","PBANKA_0101100.1","Plasmodium berghei ANKA","PbANKA_01_v3:63,665..64,618(+)","liver merozoite formation protein","no","PALM","PBANKA_0101100","Previous IDs: PB001116.02.0;PBANKA_010110","liver merozoite formation protein","1","1","1","null","null","forward","protein coding","No","954","01","PbANKA_01_v3:63665..64618(+)","PbANKA_01_v3","43","OG6_533115","0"
"PBANKA_0101200","PBANKA_0101200.1","Plasmodium berghei ANKA","PbANKA_01_v3:65,221..68,380(-)","elongation factor G, putative","no","EF-G","PBANKA_0101200","Previous IDs: PB001113.02.0;PB300521.00.0;PBANKA_010120","elongation factor G, putative","4","4","1","null","null","reverse","protein coding","No","2769","01","PbANKA_01_v3:65221..68380(-)","PbANKA_01_v3","46","OG6_103657","1"
"PBANKA_0101300","PBANKA_0101300.1","Plasmodium berghei ANKA","PbANKA_01_v3:69,076..70,230(+)","geranylgeranyl transferase type-2 subunit beta, putative","no","null","PBANKA_0101300","Previous IDs: PB001114.02.0;PB301566.00.0;PBANKA_010130","geranylgeranyl transferase type-2 subunit beta, putative","1","1","1","null","null","forward","protein coding","No","1155","01","PbANKA_01_v3:69076..70230(+)","PbANKA_01_v3","44","OG6_102449","0"
"PBANKA_0101400","PBANKA_0101400.1","Plasmodium berghei ANKA","PbANKA_01_v3:70,637..75,081(-)","SAC3 domain-containing protein, putative","no","null","PBANKA_0101400","Previous IDs: PB001115.02.0;PBANKA_010140","SAC3 domain-containing protein, putative","5","5","1","null","null","reverse","protein coding","No","3606","01","PbANKA_01_v3:70637..75081(-)","PbANKA_01_v3","44","OG6_101802","0"
"PBANKA_0101500","PBANKA_0101500.1","Plasmodium berghei ANKA","PbANKA_01_v3:77,684..79,087(-)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0101500","Previous IDs: PB000865.01.0;PBANKA_010150","conserved Plasmodium protein, unknown function","1","1","1","null","null","reverse","protein coding","No","1404","01","PbANKA_01_v3:77684..79087(-)","PbANKA_01_v3","44","OG6_532987","0"
"PBANKA_0101600","PBANKA_0101600.1","Plasmodium berghei ANKA","PbANKA_01_v3:79,755..81,779(+)","JmjC domain-containing protein, putative","no","JmjC2","PBANKA_0101600","Previous IDs: PB301508.00.0;PBANKA_010160","JmjC domain-containing protein, putative","1","1","1","null","null","forward","protein coding","No","2025","01","PbANKA_01_v3:79755..81779(+)","PbANKA_01_v3","36","OG6_106314","0"
"PBANKA_0101700","PBANKA_0101700.1","Plasmodium berghei ANKA","PbANKA_01_v3:82,175..83,622(-)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0101700","Previous IDs: PB301509.00.0;PBANKA_010170","conserved Plasmodium protein, unknown function","2","2","1","null","null","reverse","protein coding","No","1326","01","PbANKA_01_v3:82175..83622(-)","PbANKA_01_v3","37","OG6_532638","0"
